county,year,CODE_NAME,harvest_ac,n_employees_monthly,wages_total
Sacramento,2016,VINEYARD,33900,169,5528368
Sacramento,2017,FIELD_CORN,31114,26,968154
Sacramento,2017,FIELD_OTHER,7797,NA,NA
Sacramento,2017,GRAIN&HAY_OTHER,12800,NA,NA
Sacramento,2017,GRAIN&HAY_WHEAT,7290,NA,NA
Sacramento,2017,GRASSLAND,57900,NA,NA
Sacramento,2017,ORCHARD_DECIDUOUS,8028,477,16216469
Sacramento,2017,PASTURE,36510,50,1509435
Sacramento,2017,RICE,7300,NA,NA
Sacramento,2017,ROW,6717,118,3637569
Sacramento,2017,VINEYARD,35300,171,5599479
Sacramento,2018,FIELD_CORN,28554,NA,NA
Sacramento,2018,FIELD_OTHER,10220,NA,NA
Sacramento,2018,GRAIN&HAY_OTHER,16860,NA,NA
Sacramento,2018,GRAIN&HAY_WHEAT,10900,NA,NA
Sacramento,2018,GRASSLAND,57900,NA,NA
Sacramento,2018,ORCHARD_DECIDUOUS,8720,451,16016999
Sacramento,2018,PASTURE,38100,46,1799393
Sacramento,2018,RICE,8810,12,513327
Sacramento,2018,ROW,7649,119,3962207
Sacramento,2018,VINEYARD,36400,179,6393299
Sacramento,2019,FIELD_CORN,26248,NA,NA
Sacramento,2019,FIELD_OTHER,7950,NA,NA
Sacramento,2019,GRAIN&HAY_OTHER,12890,NA,NA
Sacramento,2019,GRAIN&HAY_WHEAT,9830,NA,NA
Sacramento,2019,GRASSLAND,57900,NA,NA
Sacramento,2019,ORCHARD_DECIDUOUS,9325,392,15457264
Sacramento,2019,PASTURE,39290,46,1627971
Sacramento,2019,RICE,7890,14,501212
Sacramento,2019,ROW,4129,64,1925289
Sacramento,2019,VINEYARD,35500,171,6301607
Sacramento,2020,FIELD_CORN,27700,10,469306
Sacramento,2020,FIELD_OTHER,7059,NA,NA
Sacramento,2020,GRAIN&HAY_OTHER,11100,NA,NA
Sacramento,2020,GRAIN&HAY_WHEAT,6200,NA,NA
Sacramento,2020,GRASSLAND,57900,NA,NA
Sacramento,2020,ORCHARD_DECIDUOUS,10480,381,14539217
Sacramento,2020,PASTURE,36290,44,1640704
Sacramento,2020,RICE,8600,NA,NA
Sacramento,2020,ROW,5400,130,4541724
Sacramento,2020,VINEYARD,36000,168,6565451
San Joaquin,2014,FIELD_CORN,105370,61,1610945
San Joaquin,2014,FIELD_OTHER,24962,NA,NA
San Joaquin,2014,GRAIN&HAY_OTHER,119700,NA,NA
San Joaquin,2014,GRAIN&HAY_WHEAT,23000,NA,NA
San Joaquin,2014,GRASSLAND,120000,NA,NA
