scenario,county,CODE_NAME,area,area_unit
baseline,Solano,VINEYARD,706.590028077364,ha
baseline,Solano,GRAIN&HAY_WHEAT,1296.9900515377522,ha
baseline,Solano,GRAIN&HAY_OTHER,1633.9500649273396,ha
baseline,Solano,FIELD_CORN,2421.360096216202,ha
baseline,Solano,FIELD_OTHER,1804.7700717151165,ha
baseline,Solano,ROW,587.5200233459473,ha
baseline,Solano,RICE,0,ha
baseline,Solano,IDLE,2252.9700895249844,ha
baseline,Solano,PASTURE_ALFALFA,3235.1401285529137,ha
baseline,Solano,PASTURE_OTHER,7880.040313124657,ha
baseline,Solano,GRASSLAND,5168.430205374956,ha
baseline,Solano,URBAN,622.1700247228146,ha
baseline,Solano,RIPARIAN_FOREST_POFR,99.81000396609306,ha
baseline,Solano,RIPARIAN_FOREST_QULO,53.730002135038376,ha
baseline,Solano,RIPARIAN_FOREST_SALIX,84.24000334739685,ha
baseline,Solano,RIPARIAN_FOREST_MIXED,103.8600041270256,ha
baseline,Solano,RIPARIAN_SCRUB_INTRO,135.72000539302826,ha
baseline,Solano,RIPARIAN_SCRUB_SALIX,214.29000851511955,ha
baseline,Solano,RIPARIAN_SCRUB_MIXED,1.5300000607967377,ha
baseline,Solano,WETLAND_MANAGED_PERENNIAL,33.48000133037567,ha
baseline,Solano,WETLAND_MANAGED_SEASONAL,790.7400314211845,ha
baseline,Solano,WETLAND_TIDAL,687.5100273191929,ha
baseline,Solano,WETLAND_OTHER,1694.16006731987,ha
baseline,Solano,WATER,4576.950181871653,ha
baseline,Solano,WOODLAND,43.11000171303749,ha
baseline,Solano,SCRUB,33.57000133395195,ha
baseline,Solano,BARREN,7.830000311136246,ha
baseline,Yolo,ORCHARD_DECIDUOUS,378.7200150489807,ha
baseline,Yolo,ORCHARD_CITRUS&SUBTROPICAL,33.210001319646835,ha
baseline,Yolo,VINEYARD,4862.250193208456,ha
baseline,Yolo,GRAIN&HAY_WHEAT,1759.2300699055195,ha
baseline,Yolo,GRAIN&HAY_OTHER,1746.0900693833828,ha
baseline,Yolo,FIELD_CORN,470.61001870036125,ha
baseline,Yolo,FIELD_OTHER,1586.7900630533695,ha
baseline,Yolo,ROW,1440.630057245493,ha
baseline,Yolo,RICE,1090.7100433409214,ha
baseline,Yolo,IDLE,3066.300121843815,ha
baseline,Yolo,PASTURE_ALFALFA,995.4900395572186,ha
baseline,Yolo,PASTURE_OTHER,3840.0301525890827,ha
baseline,Yolo,GRASSLAND,3555.900141298771,ha
baseline,Yolo,URBAN,3263.310129672289,ha
baseline,Yolo,RIPARIAN_FOREST_POFR,317.0700125992298,ha
baseline,Yolo,RIPARIAN_FOREST_QULO,394.7400156855583,ha
baseline,Yolo,RIPARIAN_FOREST_SALIX,145.44000577926636,ha
baseline,Yolo,RIPARIAN_FOREST_MIXED,105.66000419855118,ha
baseline,Yolo,RIPARIAN_SCRUB_INTRO,25.200001001358032,ha
baseline,Yolo,RIPARIAN_SCRUB_SALIX,141.9300056397915,ha
baseline,Yolo,RIPARIAN_SCRUB_MIXED,5.130000203847885,ha
baseline,Yolo,WETLAND_MANAGED_PERENNIAL,104.49000415205956,ha
baseline,Yolo,WETLAND_MANAGED_SEASONAL,3224.520128130913,ha
baseline,Yolo,WETLAND_TIDAL,616.1400244832039,ha
baseline,Yolo,WETLAND_OTHER,2341.710093051195,ha
baseline,Yolo,WATER,1752.1200696229935,ha
baseline,Yolo,WOODLAND,58.500002324581146,ha
baseline,Yolo,SCRUB,0,ha
baseline,Yolo,BARREN,0,ha
scenario1_restoration,Contra Costa & Alameda,ORCHARD_DECIDUOUS,1211.2200481295586,ha
scenario1_restoration,Contra Costa & Alameda,ORCHARD_CITRUS&SUBTROPICAL,5.850000232458115,ha
scenario1_restoration,Contra Costa & Alameda,VINEYARD,752.4000298976898,ha
scenario1_restoration,Contra Costa & Alameda,GRAIN&HAY_WHEAT,1102.230043798685,ha
scenario1_restoration,Contra Costa & Alameda,GRAIN&HAY_OTHER,665.4600264430046,ha
scenario1_restoration,Contra Costa & Alameda,FIELD_CORN,4278.870170027018,ha
scenario1_restoration,Contra Costa & Alameda,FIELD_OTHER,522.3600207567215,ha
scenario1_restoration,Contra Costa & Alameda,ROW,1829.790072709322,ha
scenario1_restoration,Contra Costa & Alameda,RICE,0,ha
scenario1_restoration,Contra Costa & Alameda,IDLE,2930.760116457939,ha
scenario1_restoration,Contra Costa & Alameda,PASTURE_ALFALFA,1282.2300509512424,ha
scenario1_restoration,Contra Costa & Alameda,PASTURE_OTHER,3991.320158600807,ha
scenario1_restoration,Contra Costa & Alameda,GRASSLAND,4192.110166579485,ha
scenario1_restoration,Contra Costa & Alameda,URBAN,12868.11051133275,ha
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_FOREST_POFR,179.0100071132183,ha
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_FOREST_QULO,25.650001019239426,ha
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_FOREST_SALIX,123.3000048995018,ha
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_FOREST_MIXED,71.55000284314156,ha
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_SCRUB_INTRO,343.98001366853714,ha
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_SCRUB_SALIX,390.42001551389694,ha
scenario1_restoration,Contra Costa & Alameda,RIPARIAN_SCRUB_MIXED,24.840000987052917,ha
scenario1_restoration,Contra Costa & Alameda,WETLAND_MANAGED_PERENNIAL,0,ha
scenario1_restoration,Contra Costa & Alameda,WETLAND_MANAGED_SEASONAL,32.580001294612885,ha
scenario1_restoration,Contra Costa & Alameda,WETLAND_TIDAL,763.7400303483009,ha
scenario1_restoration,Contra Costa & Alameda,WETLAND_OTHER,2111.4900839030743,ha
scenario1_restoration,Contra Costa & Alameda,WATER,7042.230279833078,ha
scenario1_restoration,Contra Costa & Alameda,WOODLAND,174.51000693440437,ha
scenario1_restoration,Contra Costa & Alameda,SCRUB,174.60000693798065,ha
scenario1_restoration,Contra Costa & Alameda,BARREN,17.01000067591667,ha
scenario1_restoration,Sacramento,ORCHARD_DECIDUOUS,2694.060107052326,ha
scenario1_restoration,Sacramento,ORCHARD_CITRUS&SUBTROPICAL,8.010000318288803,ha
scenario1_restoration,Sacramento,VINEYARD,4875.750193744898,ha
scenario1_restoration,Sacramento,GRAIN&HAY_WHEAT,1241.5500493347645,ha
scenario1_restoration,Sacramento,GRAIN&HAY_OTHER,1135.0800451040268,ha
scenario1_restoration,Sacramento,FIELD_CORN,6646.500264108181,ha
scenario1_restoration,Sacramento,FIELD_OTHER,1384.0200549960136,ha
scenario1_restoration,Sacramento,ROW,759.5100301802158,ha
scenario1_restoration,Sacramento,RICE,213.93000850081444,ha
scenario1_restoration,Sacramento,IDLE,3870.450153797865,ha
scenario1_restoration,Sacramento,PASTURE_ALFALFA,2300.2200914025307,ha
scenario1_restoration,Sacramento,PASTURE_OTHER,3747.420148909092,ha
scenario1_restoration,Sacramento,GRASSLAND,1866.7800741791725,ha
scenario1_restoration,Sacramento,URBAN,3325.950132161379,ha
scenario1_restoration,Sacramento,RIPARIAN_FOREST_POFR,535.3200212717056,ha
scenario1_restoration,Sacramento,RIPARIAN_FOREST_QULO,1245.8700495064259,ha
scenario1_restoration,Sacramento,RIPARIAN_FOREST_SALIX,261.8100104033947,ha
scenario1_restoration,Sacramento,RIPARIAN_FOREST_MIXED,281.07001116871834,ha
scenario1_restoration,Sacramento,RIPARIAN_SCRUB_INTRO,219.24000871181488,ha
scenario1_restoration,Sacramento,RIPARIAN_SCRUB_SALIX,594.6300236284733,ha
scenario1_restoration,Sacramento,RIPARIAN_SCRUB_MIXED,32.40000128746033,ha
scenario1_restoration,Sacramento,WETLAND_MANAGED_PERENNIAL,1970.280078291893,ha
scenario1_restoration,Sacramento,WETLAND_MANAGED_SEASONAL,833.7600331306458,ha
scenario1_restoration,Sacramento,WETLAND_TIDAL,1042.2000414133072,ha
scenario1_restoration,Sacramento,WETLAND_OTHER,1210.410048097372,ha
scenario1_restoration,Sacramento,WATER,5684.850225895643,ha
scenario1_restoration,Sacramento,WOODLAND,148.50000590085983,ha
scenario1_restoration,Sacramento,SCRUB,2.9700001180171967,ha
scenario1_restoration,Sacramento,BARREN,3.3300001323223114,ha
scenario1_restoration,San Joaquin,ORCHARD_DECIDUOUS,10231.200406551361,ha
scenario1_restoration,San Joaquin,ORCHARD_CITRUS&SUBTROPICAL,577.7100229561329,ha
scenario1_restoration,San Joaquin,VINEYARD,5043.0602003932,ha
scenario1_restoration,San Joaquin,GRAIN&HAY_WHEAT,6064.290240973234,ha
scenario1_restoration,San Joaquin,GRAIN&HAY_OTHER,2574.900102317333,ha
scenario1_restoration,San Joaquin,FIELD_CORN,20597.67081847787,ha
scenario1_restoration,San Joaquin,FIELD_OTHER,2565.6301019489765,ha
scenario1_restoration,San Joaquin,ROW,12292.560488462448,ha
scenario1_restoration,San Joaquin,RICE,1211.4000481367111,ha
scenario1_restoration,San Joaquin,IDLE,13847.310550242662,ha
scenario1_restoration,San Joaquin,PASTURE_ALFALFA,11116.89044174552,ha
scenario1_restoration,San Joaquin,PASTURE_OTHER,3840.120152592659,ha
scenario1_restoration,San Joaquin,GRASSLAND,5026.410199731588,ha
scenario1_restoration,San Joaquin,URBAN,16701.750663667917,ha
scenario1_restoration,San Joaquin,RIPARIAN_FOREST_POFR,1172.7000465989113,ha
scenario1_restoration,San Joaquin,RIPARIAN_FOREST_QULO,1461.6900580823421,ha
scenario1_restoration,San Joaquin,RIPARIAN_FOREST_SALIX,542.0700215399265,ha
scenario1_restoration,San Joaquin,RIPARIAN_FOREST_MIXED,161.10000640153885,ha
scenario1_restoration,San Joaquin,RIPARIAN_SCRUB_INTRO,192.6000076532364,ha
scenario1_restoration,San Joaquin,RIPARIAN_SCRUB_SALIX,1387.0800551176071,ha
scenario1_restoration,San Joaquin,RIPARIAN_SCRUB_MIXED,51.9300020635128,ha
scenario1_restoration,San Joaquin,WETLAND_MANAGED_PERENNIAL,2.9700001180171967,ha
scenario1_restoration,San Joaquin,WETLAND_MANAGED_SEASONAL,366.66001456975937,ha
scenario1_restoration,San Joaquin,WETLAND_TIDAL,449.2800178527832,ha
scenario1_restoration,San Joaquin,WETLAND_OTHER,2889.990114837885,ha
scenario1_restoration,San Joaquin,WATER,7714.980306565762,ha
scenario1_restoration,San Joaquin,WOODLAND,301.5900119841099,ha
scenario1_restoration,San Joaquin,SCRUB,28.17000111937523,ha
scenario1_restoration,San Joaquin,BARREN,149.0400059223175,ha
scenario1_restoration,Solano,ORCHARD_DECIDUOUS,1073.430042654276,ha
scenario1_restoration,Solano,ORCHARD_CITRUS&SUBTROPICAL,18.990000754594803,ha
scenario1_restoration,Solano,VINEYARD,706.590028077364,ha
scenario1_restoration,Solano,GRAIN&HAY_WHEAT,1293.8400514125824,ha
scenario1_restoration,Solano,GRAIN&HAY_OTHER,1629.900064766407,ha
scenario1_restoration,Solano,FIELD_CORN,2405.970095604658,ha
scenario1_restoration,Solano,FIELD_OTHER,1800.5400715470314,ha
scenario1_restoration,Solano,ROW,578.2500229775906,ha
scenario1_restoration,Solano,RICE,0,ha
scenario1_restoration,Solano,IDLE,2230.920088648796,ha
scenario1_restoration,Solano,PASTURE_ALFALFA,3197.6101270616055,ha
scenario1_restoration,Solano,PASTURE_OTHER,7821.18031078577,ha
scenario1_restoration,Solano,GRASSLAND,5069.250201433897,ha
scenario1_restoration,Solano,URBAN,622.1700247228146,ha
scenario1_restoration,Solano,RIPARIAN_FOREST_POFR,107.01000425219536,ha
scenario1_restoration,Solano,RIPARIAN_FOREST_QULO,74.07000294327736,ha
scenario1_restoration,Solano,RIPARIAN_FOREST_SALIX,91.6200036406517,ha
scenario1_restoration,Solano,RIPARIAN_FOREST_MIXED,159.30000633001328,ha
scenario1_restoration,Solano,RIPARIAN_SCRUB_INTRO,135.72000539302826,ha
scenario1_restoration,Solano,RIPARIAN_SCRUB_SALIX,256.05001017451286,ha
scenario1_restoration,Solano,RIPARIAN_SCRUB_MIXED,1.5300000607967377,ha
scenario1_restoration,Solano,WETLAND_MANAGED_PERENNIAL,33.48000133037567,ha
scenario1_restoration,Solano,WETLAND_MANAGED_SEASONAL,938.7000373005867,ha
scenario1_restoration,Solano,WETLAND_TIDAL,687.5100273191929,ha
scenario1_restoration,Solano,WETLAND_OTHER,1670.7600663900375,ha
scenario1_restoration,Solano,WATER,4576.950181871653,ha
scenario1_restoration,Solano,WOODLAND,40.32000160217285,ha
scenario1_restoration,Solano,SCRUB,33.39000132679939,ha
scenario1_restoration,Solano,BARREN,7.830000311136246,ha
scenario1_restoration,Yolo,ORCHARD_DECIDUOUS,378.63001504540443,ha
scenario1_restoration,Yolo,ORCHARD_CITRUS&SUBTROPICAL,33.210001319646835,ha
scenario1_restoration,Yolo,VINEYARD,4719.870187550783,ha
scenario1_restoration,Yolo,GRAIN&HAY_WHEAT,1579.230062752962,ha
scenario1_restoration,Yolo,GRAIN&HAY_OTHER,1601.2800636291504,ha
scenario1_restoration,Yolo,FIELD_CORN,414.00001645088196,ha
scenario1_restoration,Yolo,FIELD_OTHER,1278.9000508189201,ha
scenario1_restoration,Yolo,ROW,1276.8300507366657,ha
scenario1_restoration,Yolo,RICE,785.8800312280655,ha
scenario1_restoration,Yolo,IDLE,2658.780105650425,ha
scenario1_restoration,Yolo,PASTURE_ALFALFA,857.8800340890884,ha
scenario1_restoration,Yolo,PASTURE_OTHER,3069.3601219654083,ha
scenario1_restoration,Yolo,GRASSLAND,3127.770124286413,ha
scenario1_restoration,Yolo,URBAN,3263.310129672289,ha
scenario1_restoration,Yolo,RIPARIAN_FOREST_POFR,326.3400129675865,ha
scenario1_restoration,Yolo,RIPARIAN_FOREST_QULO,1437.0300571024418,ha
scenario1_restoration,Yolo,RIPARIAN_FOREST_SALIX,146.88000583648682,ha
scenario1_restoration,Yolo,RIPARIAN_FOREST_MIXED,131.760005235672,ha
scenario1_restoration,Yolo,RIPARIAN_SCRUB_INTRO,25.200001001358032,ha
scenario1_restoration,Yolo,RIPARIAN_SCRUB_SALIX,147.51000586152077,ha
scenario1_restoration,Yolo,RIPARIAN_SCRUB_MIXED,5.130000203847885,ha
scenario1_restoration,Yolo,WETLAND_MANAGED_PERENNIAL,104.49000415205956,ha
scenario1_restoration,Yolo,WETLAND_MANAGED_SEASONAL,5470.200217366219,ha
scenario1_restoration,Yolo,WETLAND_TIDAL,616.1400244832039,ha
scenario1_restoration,Yolo,WETLAND_OTHER,2059.6500818431377,ha
scenario1_restoration,Yolo,WATER,1752.1200696229935,ha
scenario1_restoration,Yolo,WOODLAND,54.540002167224884,ha
scenario1_restoration,Yolo,SCRUB,0,ha
scenario1_restoration,Yolo,BARREN,0,ha
scenario2_perennialexpand,Contra Costa & Alameda,ORCHARD_DECIDUOUS,1213.4700482189655,ha
scenario2_perennialexpand,Contra Costa & Alameda,ORCHARD_CITRUS&SUBTROPICAL,5.850000232458115,ha
scenario2_perennialexpand,Contra Costa & Alameda,VINEYARD,810.0000321865082,ha
scenario2_perennialexpand,Contra Costa & Alameda,GRAIN&HAY_WHEAT,1102.230043798685,ha
scenario2_perennialexpand,Contra Costa & Alameda,GRAIN&HAY_OTHER,665.3700264394283,ha
scenario2_perennialexpand,Contra Costa & Alameda,FIELD_CORN,4271.580169737339,ha
scenario2_perennialexpand,Contra Costa & Alameda,FIELD_OTHER,522.3600207567215,ha
scenario2_perennialexpand,Contra Costa & Alameda,ROW,1829.790072709322,ha
scenario2_perennialexpand,Contra Costa & Alameda,RICE,0,ha
scenario2_perennialexpand,Contra Costa & Alameda,IDLE,2928.8701163828373,ha
scenario2_perennialexpand,Contra Costa & Alameda,PASTURE_ALFALFA,1278.3600507974625,ha
