rowname,zone,value_baseline,value_scenario,area_unit,net_change,species,scenario,change_pct
13,San Joaquin,115861.4864471592,113099.83088063449,px,-2761.6555665247142,LAZB,scenario2,-0.02383583752642617
13,Solano,33012.206521742046,32723.32525548339,px,-288.881266258657,LAZB,scenario2,-0.008750740913619269
13,Yolo,31056.038963448256,30330.160307094455,px,-725.8786563538015,LAZB,scenario2,-0.023373188615848025
14,Contra Costa & Alameda,65092.10625971854,65043.834896460176,px,-48.271363258361816,NUWO,scenario2,-7.415855167715469e-4
14,Sacramento,81936.79463707656,77801.04774068668,px,-4135.746896389872,NUWO,scenario2,-0.05047484362438604
14,San Joaquin,234825.59629255906,228959.28415863588,px,-5866.312133923173,NUWO,scenario2,-0.024981570265511382
14,Solano,42738.929841922596,42193.28815417923,px,-545.6416877433658,NUWO,scenario2,-0.01276685424182395
14,Yolo,66577.62424012274,63059.40300543606,px,-3518.2212346866727,NUWO,scenario2,-0.052843898754897756
15,Contra Costa & Alameda,287092.24189629033,287080.76658820175,px,-11.475308088585734,SOSP,scenario2,-3.99708052463887e-5
15,Sacramento,304960.5434700791,298817.7431512587,px,-6142.800318820402,SOSP,scenario2,-0.020142934718448576
15,San Joaquin,742048.15891077,745367.6847466826,px,3319.5258359126747,SOSP,scenario2,0.004473464149261291
15,Solano,241366.29692847095,239889.28114934824,px,-1477.0157791227102,SOSP,scenario2,-0.006119395283925762
15,Yolo,233802.30381508358,232363.31883254554,px,-1438.984982538037,SOSP,scenario2,-0.006154708311497835
16,Contra Costa & Alameda,294749.1939415112,301456.0177913355,px,6706.823849824257,SPTO,scenario2,0.022754341615451985
16,Sacramento,326088.3923900202,344986.9177314341,px,18898.525341413915,SPTO,scenario2,0.05795522251773442
16,San Joaquin,739160.1883168928,900609.3673490658,px,161449.179032173,SPTO,scenario2,0.21842244967197355
16,Solano,145719.96073672455,159213.0556534417,px,13493.09491671715,SPTO,scenario2,0.09259606472922004
16,Yolo,258354.80820764415,283306.2183483159,px,24951.410140671767,SPTO,scenario2,0.096578075375388
17,Contra Costa & Alameda,14349.758364785463,14236.578852859326,px,-113.17951192613691,YBCH,scenario2,-0.007887206812059027
17,Sacramento,16829.783982915804,16105.02338530682,px,-724.7605976089835,YBCH,scenario2,-0.04306416519336791
17,San Joaquin,58344.886816697195,48292.783901071176,px,-10052.10291562602,YBCH,scenario2,-0.17228764102682773
17,Solano,12722.429644124582,11890.01723279152,px,-832.4124113330618,YBCH,scenario2,-0.06542872978020223
17,Yolo,8823.966050637886,8076.631268923171,px,-747.3347817147151,YBCH,scenario2,-0.0846937507948243
18,Contra Costa & Alameda,33649.60266391188,33618.359919033945,px,-31.242744877934456,YEWA,scenario2,-9.284729210618971e-4
18,Sacramento,32167.55800514482,32355.685335913673,px,188.12733076885343,YEWA,scenario2,0.005848355997019254
18,San Joaquin,79803.6489445027,79353.26761143841,px,-450.3813330642879,YEWA,scenario2,-0.005643618293412793
18,Solano,36651.47432940453,36456.34015927836,px,-195.13417012616992,YEWA,scenario2,-0.005324046950264666
18,Yolo,28853.71851530671,28549.99659020081,px,-303.7219251058996,YEWA,scenario2,-0.010526266309306963
