spp,label
NUWO,Nuttall's Woodpecker
ATFL,Ash-throated Flycatcher
BHGR,Black-headed Grosbeak
LAZB,Lazuli Bunting
COYE,Common Yellowthroat
YEWA,Yellow Warbler
SPTO,Spotted Towhee
SOSP,Song Sparrow
YBCH,Yellow-breasted Chat
geese,Geese
dblr,Dabbling Ducks
divduck,Diving Ducks
crane,Cranes
shore,Shorebirds
cicon,Herons/Egrets
TOTAL,Total
