scenario,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,net_change,lcl,ucl,prop_change
scenario3_combo_alt,Climate Change Resilience,NA,Heat,"qualitative score, 1-10",-0.22135164990315292,-0.39516816955523465,-0.0475351302510712,-0.03189348598446642
scenario3_combo_alt,Water Quality,NA,Critical Pesticides,kg/yr,-295.00082170026144,-26932.46686050036,26342.465217099838,-0.002351899791673619
scenario3_combo_alt,Water Quality,NA,Groundwater Contaminant,kg/yr,2337.767511281665,-3556.3218718733688,8231.8568944367,0.14395687155233838
scenario3_combo_alt,Water Quality,NA,Risk to Aquatic Organisms,kg/yr,28681.904712981835,-19130.28158271849,76494.09100868215,0.07300707282400613
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,NA,3542.5656,1961.604,5223.3727499999995,0.7823542833882308
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,NA,3626.865,1506.21525,6668.887500000001,0.7876726787418972
scenario1_restoration,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),NA,3296.7162,1537.4655,6270.187499999998,0.17625709716429083
scenario1_restoration,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),NA,3214.431,558.51975,6939.123749999999,0.08354339705207657
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,NA,3832.4772,1994.6025,5726.81925,0.09165376941588142
scenario1_restoration,Biodiversity Support,Waterbird habitat,Cranes (fall),NA,78.2802,-186.093,349.98074999999994,0.019271699994460753
scenario1_restoration,Biodiversity Support,Waterbird habitat,Cranes (winter),NA,-520.5456,-1193.976,-84.21075,-0.042574146502397374
scenario1_restoration,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),NA,3851.8541999999998,3379.005,5421.701249999998,0.48084285505634383
scenario1_restoration,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),NA,3463.9757999999997,2452.5855,4366.394999999999,0.14051368299677475
scenario1_restoration,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),NA,2387.601,691.434,3455.0324999999993,0.2722120604485641
scenario1_restoration,Biodiversity Support,Waterbird habitat,Geese (fall),NA,174.6162,-37.777499999999996,651.9825,0.08115273032688969
scenario1_restoration,Biodiversity Support,Waterbird habitat,Geese (winter),NA,586.1934,-1226.7247499999999,2198.6887499999993,0.03224990584869025
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,NA,454.734,-969.9615,2603.9092499999997,0.03220411773681652
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,NA,3340.8233999999998,2140.90875,4579.36875,1.6862390772266649
scenario1_restoration,Biodiversity Support,Waterbird habitat,Shorebirds (fall),NA,3324.9798,2917.2082499999997,4178.142,0.236457657024768
scenario1_restoration,Biodiversity Support,Waterbird habitat,Shorebirds (winter),NA,2340.8802,-580.266,3692.6324999999993,0.1218668909923535
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Song Sparrow,NA,2324.9411999999998,-3877.4092499999997,7982.752499999999,0.018135561438178436
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,NA,6889.878,4607.79075,10267.998749999999,0.2116676532888805
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Total,NA,7543.5372,2638.5795,12746.672999999995,0.04268758848994143
scenario1_restoration,Biodiversity Support,Waterbird habitat,Total (fall),NA,3917.3147999999997,2453.9377499999996,5954.29875,0.1568407600934233
scenario1_restoration,Biodiversity Support,Waterbird habitat,Total (winter),NA,3003.777,1218.5324999999998,5750.378999999999,0.05438355011711545
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,NA,-36.76499999999999,-1826.5252499999997,810.8707499999998,-0.0052656110867344745
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,NA,672.1344,-1341.9405,2817.8099999999995,0.05606824383127394
scenario2_perennialexpand_alt,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,NA,-622.6254,-1260.81,-242.03249999999997,-0.13750307083552962
scenario2_perennialexpand_alt,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,NA,-526.4838,-1208.37375,58.42574999999968,-0.11434032010020038
scenario2_perennialexpand_alt,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),NA,-1156.1976,-2582.2485,368.94824999999935,-0.06181546131399477
scenario2_perennialexpand_alt,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),NA,436.6314,-3708.2722499999995,4028.4517499999997,0.011348095639820567
scenario2_perennialexpand_alt,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,NA,-2189.322,-4974.705,-795.7755,-0.05235767971825543
scenario2_perennialexpand_alt,Biodiversity Support,Waterbird habitat,Cranes (fall),NA,290.1168,-337.74749999999995,1024.0762499999996,0.07142347532266106
scenario2_perennialexpand_alt,Biodiversity Support,Waterbird habitat,Cranes (winter),NA,-690.1092,-2857.6147499999997,1008.0517499999992,-0.056442337008423944
scenario2_perennialexpand_alt,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),NA,-484.2792,-1784.3895,-57.82725000000001,-0.06045457098879863
scenario2_perennialexpand_alt,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),NA,-579.9366,-1432.548,555.2707499999993,-0.023524710412418978
scenario2_perennialexpand_alt,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),NA,-145.1592,-918.3734999999999,628.3349999999998,-0.016549701949808704
scenario2_perennialexpand_alt,Biodiversity Support,Waterbird habitat,Geese (fall),NA,1227.6828,14.670000000000005,4376.290499999999,0.5705645363681082
scenario2_perennialexpand_alt,Biodiversity Support,Waterbird habitat,Geese (winter),NA,1389.2759999999998,-974.9114999999999,4206.246749999999,0.07643214713411137
scenario2_perennialexpand_alt,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,NA,-220.4172,-1797.3269999999998,247.44599999999974,-0.015609876235380321
scenario2_perennialexpand_alt,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,NA,-474.93899999999996,-824.5732499999999,-221.45850000000002,-0.23971955569365175
scenario2_perennialexpand_alt,Biodiversity Support,Waterbird habitat,Shorebirds (fall),NA,-543.8718,-865.1362499999999,103.68674999999979,-0.038677724162367304
scenario2_perennialexpand_alt,Biodiversity Support,Waterbird habitat,Shorebirds (winter),NA,166.91039999999998,-1447.7445,3070.27125,0.008689403038348616
scenario2_perennialexpand_alt,Biodiversity Support,Riparian landbird habitat,Song Sparrow,NA,-2383.4952,-12441.48975,10925.621999999994,-0.018592308329003503
scenario2_perennialexpand_alt,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,NA,6823.5444,588.7755,20142.731249999993,0.20962978303251262
scenario2_perennialexpand_alt,Biodiversity Support,Riparian landbird habitat,Total,NA,575.7839999999999,-9739.83375,11481.556499999995,0.003258263305322128
scenario2_perennialexpand_alt,Biodiversity Support,Waterbird habitat,Total (fall),NA,-938.5434,-1882.2554999999998,517.995,-0.03757723536455784
scenario2_perennialexpand_alt,Biodiversity Support,Waterbird habitat,Total (winter),NA,-1732.338,-4604.264999999999,595.1092499999997,-0.031364076109106485
scenario2_perennialexpand_alt,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,NA,-1050.219,-10967.301,1123.6342499999987,-0.1504160155011341
scenario2_perennialexpand_alt,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,NA,385.3026,-1392.3135,3627.45,0.03214125050826711
scenario3_combo_alt,Biodiversity Support,Riparian landbird habitat,Ash-throated Flycatcher,NA,3476.0303999999996,1863.4702499999999,5673.257999999998,0.7676603850688621
scenario3_combo_alt,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,NA,3568.2498,1443.7057499999999,6600.6359999999995,0.7749427889889035
scenario3_combo_alt,Biodiversity Support,Waterbird habitat,Herons/Egrets (fall),NA,2289.6,342.61199999999997,5935.441499999999,0.1224121899444545
scenario3_combo_alt,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),NA,3541.0553999999997,-1756.5502499999998,8881.18875,0.09203239928485005
scenario3_combo_alt,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,NA,1745.1306,-1153.9845,4342.666499999999,0.041734833442192115
scenario3_combo_alt,Biodiversity Support,Waterbird habitat,Cranes (fall),NA,369.1116,-286.63424999999995,1262.1015,0.09087110175594085
scenario3_combo_alt,Biodiversity Support,Waterbird habitat,Cranes (winter),NA,-1239.9227999999998,-3346.06725,611.5139999999996,-0.10141024136763954
scenario3_combo_alt,Biodiversity Support,Waterbird habitat,Dabbling Ducks (fall),NA,3353.1929999999998,2554.3822499999997,4402.973249999999,0.4185929196580044
scenario3_combo_alt,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),NA,2868.5699999999997,1843.866,4355.514,0.11636147562984075
scenario3_combo_alt,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),NA,2137.3343999999997,615.2085,2944.3477499999995,0.24367899028840892
scenario3_combo_alt,Biodiversity Support,Waterbird habitat,Geese (fall),NA,1846.4166,-3.494249999999994,5461.217999999998,0.8581205432880371
scenario3_combo_alt,Biodiversity Support,Waterbird habitat,Geese (winter),NA,1904.9814,-1073.2185,5049.945,0.1048040984315179
scenario3_combo_alt,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,NA,284.8302,-2071.98,2621.60325,0.020171584477520918
