class,zone,area_unit,value_baseline,value_scenario,net_change,LABEL
ROW,San Joaquin,ha,12461.31049516797,9870.120392203331,-2591.1901029646397,Row Crops
IDLE,San Joaquin,ha,14213.970564812422,11898.450472801924,-2315.520092010498,Idle
FIELD_CORN,San Joaquin,ha,20821.770827382803,19102.590759068727,-1719.1800683140755,Corn
PASTURE_ALFALFA,San Joaquin,ha,11286.1804484725,10203.750405460596,-1082.4300430119038,Alfalfa
GRAIN&HAY_WHEAT,San Joaquin,ha,6184.710245758295,5284.710209995508,-900.0000357627869,Grain
IDLE,Sacramento,ha,4144.050164669752,3482.370138376951,-661.6800262928009,Idle
PASTURE,San Joaquin,ha,3944.8801567554474,3414.780135691166,-530.1000210642815,Pasture
FIELD_CORN,Sacramento,ha,6886.800273656845,6362.4602528214455,-524.3400208353996,Corn
GRASSLAND,San Joaquin,ha,5516.550219208002,5003.370198816061,-513.1800203919411,Grassland
PASTURE,Yolo,ha,3840.0301525890827,3374.460134088993,-465.57001850008965,Pasture
IDLE,Yolo,ha,3066.300121843815,2630.5201045274734,-435.7800173163414,Idle
FIELD,San Joaquin,ha,2676.600106358528,2276.370090454817,-400.2300159037113,Field Crops
WETLAND_OTHER,San Joaquin,ha,2920.1401160359383,2633.0401046276093,-287.100011408329,Other Wetland
GRAIN&HAY,San Joaquin,ha,2597.400103211403,2329.2900925576687,-268.1100106537342,Grain
PASTURE_ALFALFA,Sacramento,ha,2372.5800942778587,2142.0000851154327,-230.580009162426,Alfalfa
GRAIN&HAY,Yolo,ha,1746.0900693833828,1539.5400611758232,-206.55000820755959,Grain
PASTURE,Sacramento,ha,4359.420173227787,4159.620165288448,-199.80000793933868,Pasture
GRAIN&HAY_WHEAT,Sacramento,ha,1326.4200527071953,1136.2500451505184,-190.17000755667686,Grain
ROW,Yolo,ha,1440.630057245493,1265.0400502681732,-175.59000697731972,Row Crops
GRAIN&HAY_WHEAT,Yolo,ha,1759.2300699055195,1617.300064265728,-141.9300056397915,Grain
FIELD,Yolo,ha,1586.7900630533695,1445.2200574278831,-141.57000562548637,Field Crops
PASTURE_ALFALFA,Solano,ha,3235.1401285529137,3098.700123131275,-136.4400054216385,Alfalfa
RIPARIAN_FOREST_QULO,San Joaquin,ha,652.2300259172916,521.550020724535,-130.68000519275665,Riparian Forest
GRAIN&HAY,Sacramento,ha,1197.5400475859642,1073.5200426578522,-124.02000492811203,Grain
FIELD,Sacramento,ha,1415.160056233406,1292.3100513517857,-122.85000488162041,Field Crops
FIELD_CORN,Solano,ha,2421.360096216202,2302.7400915026665,-118.62000471353531,Corn
GRASSLAND,Sacramento,ha,2056.9500817358494,1943.0100772082806,-113.94000452756882,Grassland
IDLE,Solano,ha,2252.9700895249844,2141.6400851011276,-111.33000442385674,Idle
GRASSLAND,Solano,ha,5168.430205374956,5073.030201584101,-95.40000379085541,Grassland
RIPARIAN_FOREST_QULO,Yolo,ha,394.7400156855583,300.9600119590759,-93.78000372648239,Riparian Forest
RIPARIAN_FOREST_QULO,Sacramento,ha,853.2900339066982,761.9400302767754,-91.35000362992287,Riparian Forest
FIELD,Solano,ha,1804.7700717151165,1717.38006824255,-87.3900034725666,Field Crops
GRASSLAND,Yolo,ha,3555.900141298771,3472.1101379692554,-83.79000332951546,Grassland
PASTURE_ALFALFA,Yolo,ha,995.4900395572186,913.3200362920761,-82.17000326514244,Alfalfa
FIELD_CORN,Yolo,ha,470.61001870036125,390.5100155174732,-80.10000318288803,Corn
ROW,Sacramento,ha,780.0300309956074,701.4600278735161,-78.5700031220913,Row Crops
GRAIN&HAY_WHEAT,Solano,ha,1296.9900515377522,1222.4700485765934,-74.52000296115875,Grain
RIPARIAN_FOREST_POFR,San Joaquin,ha,686.3400272727013,612.3600243330002,-73.98000293970108,Riparian Forest
