class,zone,area_unit,value_baseline,value_scenario,net_change,LABEL
GRAIN&HAY,Solano,ha,1633.9500649273396,1561.0500620305538,-72.90000289678574,Grain
WETLAND_OTHER,Solano,ha,1694.16006731987,1630.1700647771358,-63.990002542734146,Other Wetland
RIPARIAN_SCRUB_SALIX,San Joaquin,ha,864.5400343537331,816.0300324261189,-48.51000192761421,Riparian Scrub
ROW,Solano,ha,587.5200233459473,540.0000214576721,-47.52000188827515,Row Crops
RIPARIAN_FOREST_SALIX,San Joaquin,ha,391.1400155425072,354.600014090538,-36.54000145196915,Riparian Forest
RIPARIAN_SCRUB_SALIX,Sacramento,ha,451.7100179493427,423.9000168442726,-27.810001105070114,Riparian Scrub
WETLAND_OTHER,Sacramento,ha,1423.0800565481186,1395.3600554466248,-27.720001101493835,Other Wetland
RIPARIAN_FOREST_POFR,Sacramento,ha,432.7200171947479,407.70001620054245,-25.020000994205475,Riparian Forest
RIPARIAN_SCRUB_INTRO,Sacramento,ha,219.24000871181488,194.58000773191452,-24.66000097990036,Riparian Scrub
RIPARIAN_FOREST_MIXED,Sacramento,ha,188.46000748872757,167.13000664114952,-21.33000084757805,Riparian Forest
RIPARIAN_SCRUB_INTRO,San Joaquin,ha,192.6000076532364,174.15000692009926,-18.45000073313713,Riparian Scrub
PASTURE,Solano,ha,7880.040313124657,7863.300312459469,-16.740000665187836,Pasture
RIPARIAN_FOREST_POFR,Yolo,ha,317.0700125992298,302.22001200914383,-14.850000590085983,Riparian Forest
RIPARIAN_FOREST_MIXED,San Joaquin,ha,125.46000498533249,111.24000442028046,-14.220000565052032,Riparian Forest
RIPARIAN_FOREST_MIXED,Yolo,ha,105.66000419855118,92.25000366568565,-13.410000532865524,Riparian Forest
WETLAND_OTHER,Contra Costa & Alameda,ha,2119.0500842034817,2107.170083731413,-11.880000472068787,Other Wetland
WETLAND_OTHER,Yolo,ha,2341.710093051195,2330.8200926184654,-10.890000432729721,Other Wetland
PASTURE,Contra Costa & Alameda,ha,4013.7301594913006,4003.7401590943336,-9.990000396966934,Pasture
RIPARIAN_FOREST_POFR,Contra Costa & Alameda,ha,178.2000070810318,169.20000672340393,-9.000000357627869,Riparian Forest
RIPARIAN_FOREST_MIXED,Solano,ha,103.8600041270256,95.0400037765503,-8.820000350475311,Riparian Forest
RIPARIAN_SCRUB_SALIX,Solano,ha,214.29000851511955,206.0100081861019,-8.28000032901764,Riparian Scrub
RIPARIAN_SCRUB_SALIX,Contra Costa & Alameda,ha,389.88001549243927,382.1400151848793,-7.740000307559967,Riparian Scrub
FIELD_CORN,Contra Costa & Alameda,ha,4278.870170027018,4271.580169737339,-7.290000289678574,Corn
RIPARIAN_FOREST_QULO,Solano,ha,53.730002135038376,47.700001895427704,-6.030000239610672,Riparian Forest
RIPARIAN_FOREST_SALIX,Solano,ha,84.24000334739685,78.39000311493874,-5.850000232458115,Riparian Forest
RIPARIAN_FOREST_SALIX,Sacramento,ha,227.88000905513763,222.39000883698463,-5.490000218153,Riparian Forest
WETLAND_TIDAL,Sacramento,ha,1042.2000414133072,1036.8900412023067,-5.3100002110004425,Tidal Wetland
RIPARIAN_SCRUB_SALIX,Yolo,ha,141.9300056397915,136.89000543951988,-5.0400002002716064,Riparian Scrub
WETLAND_TIDAL,San Joaquin,ha,449.2800178527832,444.42001765966415,-4.860000193119049,Tidal Wetland
RIPARIAN_FOREST_SALIX,Contra Costa & Alameda,ha,123.3000048995018,119.34000474214554,-3.960000157356262,Riparian Forest
BARREN,San Joaquin,ha,161.7300064265728,157.77000626921654,-3.960000157356262,Barren
PASTURE_ALFALFA,Contra Costa & Alameda,ha,1282.2300509512424,1278.3600507974625,-3.8700001537799835,Alfalfa
RIPARIAN_SCRUB_INTRO,Solano,ha,135.72000539302826,132.1200052499771,-3.6000001430511475,Riparian Scrub
IDLE,Contra Costa & Alameda,ha,2932.020116508007,2928.8701163828373,-3.150000125169754,Idle
GRASSLAND,Contra Costa & Alameda,ha,4193.9101666510105,4191.210166543722,-2.7000001072883606,Grassland
WETLAND_MANAGED_PERENNIAL,San Joaquin,ha,2.9700001180171967,0.7200000286102295,-2.250000089406967,Managed Wetland - Perennial
WETLAND_MANAGED_PERENNIAL,Sacramento,ha,798.6600317358971,796.6800316572189,-1.980000078678131,Managed Wetland - Perennial
RIPARIAN_SCRUB_MIXED,Sacramento,ha,31.320001244544983,29.610001176595688,-1.710000067949295,Riparian Scrub
RIPARIAN_SCRUB_INTRO,Yolo,ha,25.200001001358032,23.580000936985016,-1.6200000643730164,Riparian Scrub
RIPARIAN_SCRUB_MIXED,San Joaquin,ha,51.9300020635128,51.48000204563141,-0.45000001788139343,Riparian Scrub
WETLAND_MANAGED_SEASONAL,San Joaquin,ha,336.78001338243484,336.510013371706,-0.27000001072883606,Managed Wetland - Seasonal
RIPARIAN_FOREST_SALIX,Yolo,ha,145.44000577926636,145.17000576853752,-0.27000001072883606,Riparian Forest
RIPARIAN_SCRUB_INTRO,Contra Costa & Alameda,ha,343.98001366853714,343.8000136613846,-0.18000000715255737,Riparian Scrub
RIPARIAN_FOREST_POFR,Solano,ha,99.81000396609306,99.6300039589405,-0.18000000715255737,Riparian Forest
GRAIN&HAY,Contra Costa & Alameda,ha,665.4600264430046,665.3700264394283,-0.09000000357627869,Grain
ORCHARD_CITRUS&SUBTROPICAL,Contra Costa & Alameda,ha,5.850000232458115,5.850000232458115,0,Orchard - Citrus & Subtropical
GRAIN&HAY_WHEAT,Contra Costa & Alameda,ha,1102.230043798685,1102.230043798685,0,Grain
FIELD,Contra Costa & Alameda,ha,522.3600207567215,522.3600207567215,0,Field Crops
ROW,Contra Costa & Alameda,ha,1829.790072709322,1829.790072709322,0,Row Crops
RICE,Contra Costa & Alameda,ha,0,0,0,Rice
URBAN,Contra Costa & Alameda,ha,12869.190511375666,12869.190511375666,0,Urban
RIPARIAN_FOREST_QULO,Contra Costa & Alameda,ha,25.38000100851059,25.38000100851059,0,Riparian Forest
RIPARIAN_FOREST_MIXED,Contra Costa & Alameda,ha,71.55000284314156,71.55000284314156,0,Riparian Forest
RIPARIAN_SCRUB_MIXED,Contra Costa & Alameda,ha,24.840000987052917,24.840000987052917,0,Riparian Scrub
WETLAND_MANAGED_PERENNIAL,Contra Costa & Alameda,ha,0,0,0,Managed Wetland - Perennial
WETLAND_MANAGED_SEASONAL,Contra Costa & Alameda,ha,0,0,0,Managed Wetland - Seasonal
WETLAND_TIDAL,Contra Costa & Alameda,ha,763.7400303483009,763.7400303483009,0,Tidal Wetland
WATER,Contra Costa & Alameda,ha,7042.230279833078,7042.230279833078,0,Water
WOODLAND&SCRUB,Contra Costa & Alameda,ha,349.2000138759613,349.2000138759613,0,Woodland & Scrub
BARREN,Contra Costa & Alameda,ha,17.01000067591667,17.01000067591667,0,Barren
RICE,Sacramento,ha,377.8200150132179,377.8200150132179,0,Rice
URBAN,Sacramento,ha,3327.7501322329044,3327.7501322329044,0,Urban
WETLAND_MANAGED_SEASONAL,Sacramento,ha,717.4800285100937,717.4800285100937,0,Managed Wetland - Seasonal
WATER,Sacramento,ha,5684.850225895643,5684.850225895643,0,Water
WOODLAND&SCRUB,Sacramento,ha,172.98000687360764,172.98000687360764,0,Woodland & Scrub
BARREN,Sacramento,ha,3.960000157356262,3.960000157356262,0,Barren
RICE,San Joaquin,ha,1211.4000481367111,1211.4000481367111,0,Rice
URBAN,San Joaquin,ha,16702.110663682222,16702.110663682222,0,Urban
WATER,San Joaquin,ha,7714.980306565762,7714.980306565762,0,Water
WOODLAND&SCRUB,San Joaquin,ha,345.69001373648643,345.69001373648643,0,Woodland & Scrub
ORCHARD_CITRUS&SUBTROPICAL,Solano,ha,18.990000754594803,18.990000754594803,0,Orchard - Citrus & Subtropical
RICE,Solano,ha,0,0,0,Rice
URBAN,Solano,ha,622.1700247228146,622.1700247228146,0,Urban
RIPARIAN_SCRUB_MIXED,Solano,ha,1.5300000607967377,1.5300000607967377,0,Riparian Scrub
WETLAND_MANAGED_PERENNIAL,Solano,ha,33.48000133037567,33.48000133037567,0,Managed Wetland - Perennial
WETLAND_MANAGED_SEASONAL,Solano,ha,790.7400314211845,790.7400314211845,0,Managed Wetland - Seasonal
WETLAND_TIDAL,Solano,ha,687.5100273191929,687.5100273191929,0,Tidal Wetland
WATER,Solano,ha,4576.950181871653,4576.950181871653,0,Water
WOODLAND&SCRUB,Solano,ha,76.68000304698944,76.68000304698944,0,Woodland & Scrub
BARREN,Solano,ha,7.830000311136246,7.830000311136246,0,Barren
ORCHARD_CITRUS&SUBTROPICAL,Yolo,ha,33.210001319646835,33.210001319646835,0,Orchard - Citrus & Subtropical
RICE,Yolo,ha,1090.7100433409214,1090.7100433409214,0,Rice
URBAN,Yolo,ha,3263.310129672289,3263.310129672289,0,Urban
RIPARIAN_SCRUB_MIXED,Yolo,ha,5.130000203847885,5.130000203847885,0,Riparian Scrub
WETLAND_MANAGED_PERENNIAL,Yolo,ha,104.49000415205956,104.49000415205956,0,Managed Wetland - Perennial
WETLAND_MANAGED_SEASONAL,Yolo,ha,3224.520128130913,3224.520128130913,0,Managed Wetland - Seasonal
WETLAND_TIDAL,Yolo,ha,616.1400244832039,616.1400244832039,0,Tidal Wetland
WATER,Yolo,ha,1752.1200696229935,1752.1200696229935,0,Water
WOODLAND&SCRUB,Yolo,ha,58.500002324581146,58.500002324581146,0,Woodland & Scrub
BARREN,Yolo,ha,0,0,0,Barren
ORCHARD_DECIDUOUS,Contra Costa & Alameda,ha,1211.2200481295586,1213.4700482189655,2.250000089406967,Orchard - Deciduous Fruits & Nuts
ORCHARD_CITRUS&SUBTROPICAL,San Joaquin,ha,577.7100229561329,608.3100241720676,30.600001215934753,Orchard - Citrus & Subtropical
VINEYARD,Contra Costa & Alameda,ha,752.4000298976898,810.0000321865082,57.60000228881836,Vineyard
ORCHARD_CITRUS&SUBTROPICAL,Sacramento,ha,8.010000318288803,148.5900059044361,140.5800055861473,Orchard - Citrus & Subtropical
ORCHARD_DECIDUOUS,Solano,ha,1073.430042654276,1471.680058479309,398.2500158250332,Orchard - Deciduous Fruits & Nuts
VINEYARD,Solano,ha,706.590028077364,1165.9500463306904,459.3600182533264,Vineyard
ORCHARD_DECIDUOUS,Sacramento,ha,2755.620109498501,3317.22013181448,561.600022315979,Orchard - Deciduous Fruits & Nuts
ORCHARD_DECIDUOUS,Yolo,ha,378.7200150489807,1278.0000507831573,899.2800357341766,Orchard - Deciduous Fruits & Nuts
VINEYARD,Yolo,ha,4862.250193208456,5915.880235075951,1053.6300418674946,Vineyard
VINEYARD,Sacramento,ha,4879.890193909407,6656.0402644872665,1776.1500705778599,Vineyard
VINEYARD,San Joaquin,ha,5103.810202807188,8187.930325359106,3084.120122551918,Vineyard
ORCHARD_DECIDUOUS,San Joaquin,ha,10368.540412008762,18195.030723005533,7826.490310996771,Orchard - Deciduous Fruits & Nuts
