n,scenario,spp,value
8,scenario2_alt,TOTAL,245414
8,scenario3_alt,dblr,120068
8,scenario3_alt,shore,176161
8,scenario3_alt,cicon,196381
8,scenario3_alt,crane,42126
8,scenario3_alt,geese,5632
8,scenario3_alt,TOTAL,285589
9,baseline,dblr,89147
9,baseline,shore,166382
9,baseline,cicon,199795
9,baseline,crane,20650
9,baseline,geese,9706
9,baseline,TOTAL,266551
9,scenario1,dblr,131693
9,scenario1,shore,209608
9,scenario1,cicon,247458
9,scenario1,crane,21546
9,scenario1,geese,9596
9,scenario1,TOTAL,321367
9,scenario2_alt,dblr,83497
9,scenario2_alt,shore,160427
9,scenario2_alt,cicon,184457
9,scenario2_alt,crane,25793
9,scenario2_alt,geese,12879
9,scenario2_alt,TOTAL,252405
9,scenario3_alt,dblr,125517
9,scenario3_alt,shore,204804
9,scenario3_alt,cicon,231383
9,scenario3_alt,crane,26232
9,scenario3_alt,geese,12229
9,scenario3_alt,TOTAL,306865
10,baseline,dblr,74625
10,baseline,shore,149293
10,baseline,cicon,191948
10,baseline,crane,41245
10,baseline,geese,15344
10,baseline,TOTAL,233944
10,scenario1,dblr,115462
10,scenario1,shore,186419
10,scenario1,cicon,243315
10,scenario1,crane,40917
10,scenario1,geese,16519
10,scenario1,TOTAL,284528
10,scenario2_alt,dblr,71383
10,scenario2_alt,shore,141743
10,scenario2_alt,cicon,184536
10,scenario2_alt,crane,47788
10,scenario2_alt,geese,29672
10,scenario2_alt,TOTAL,227776
10,scenario3_alt,dblr,112292
10,scenario3_alt,shore,180307
10,scenario3_alt,cicon,237264
10,scenario3_alt,crane,47177
10,scenario3_alt,geese,40082
10,scenario3_alt,TOTAL,279200
11,baseline,dblr,99637
11,baseline,shore,149088
11,baseline,cicon,198718
11,baseline,crane,57052
11,baseline,geese,13087
11,baseline,TOTAL,271222
11,scenario1,dblr,149959
11,scenario1,shore,184608
11,scenario1,cicon,236274
11,scenario1,crane,57548
11,scenario1,geese,14840
11,scenario1,TOTAL,319292
11,scenario2_alt,dblr,89317
11,scenario2_alt,shore,144753
11,scenario2_alt,cicon,186109
11,scenario2_alt,crane,62366
11,scenario2_alt,geese,23455
11,scenario2_alt,TOTAL,257883
11,scenario3_alt,dblr,135529
11,scenario3_alt,shore,180722
11,scenario3_alt,cicon,220811
11,scenario3_alt,crane,63332
11,scenario3_alt,geese,32945
11,scenario3_alt,TOTAL,304653
12,baseline,dblr,101558
12,baseline,shore,132568
12,baseline,cicon,180672
12,baseline,crane,40038
12,baseline,geese,4037
12,baseline,TOTAL,242819
12,scenario1,dblr,144630
12,scenario1,shore,169850
12,scenario1,cicon,207979
12,scenario1,crane,40719
12,scenario1,geese,4026
12,scenario1,TOTAL,288568
12,scenario2_alt,dblr,98626
12,scenario2_alt,shore,129305
12,scenario2_alt,cicon,167586
12,scenario2_alt,crane,39587
12,scenario2_alt,geese,5522
12,scenario2_alt,TOTAL,229255
12,scenario3_alt,dblr,141074
12,scenario3_alt,shore,166664
12,scenario3_alt,cicon,191653
12,scenario3_alt,crane,39241
12,scenario3_alt,geese,5324
12,scenario3_alt,TOTAL,271637
13,baseline,dblr,84452
13,baseline,shore,136236
13,baseline,cicon,258385
13,baseline,crane,40920
13,baseline,geese,43423
13,baseline,TOTAL,326338
13,scenario1,dblr,122532
13,scenario1,shore,180619
13,scenario1,cicon,287231
13,scenario1,crane,44201
13,scenario1,geese,46803
13,scenario1,TOTAL,362082
13,scenario2_alt,dblr,83108
13,scenario2_alt,shore,129953
13,scenario2_alt,cicon,231403
13,scenario2_alt,crane,48542
13,scenario2_alt,geese,65010
13,scenario2_alt,TOTAL,315524
13,scenario3_alt,dblr,121012
13,scenario3_alt,shore,175070
13,scenario3_alt,cicon,263820
13,scenario3_alt,crane,51981
13,scenario3_alt,geese,83580
13,scenario3_alt,TOTAL,353222
14,baseline,dblr,85794
14,baseline,shore,163434
14,baseline,cicon,133787
14,baseline,crane,33384
14,baseline,geese,34783
14,baseline,TOTAL,225183
14,scenario1,dblr,134275
14,scenario1,shore,197650
14,scenario1,cicon,155045
14,scenario1,crane,33082
14,scenario1,geese,38770
14,scenario1,TOTAL,269287
14,scenario2_alt,dblr,81892
14,scenario2_alt,shore,156260
14,scenario2_alt,cicon,121011
14,scenario2_alt,crane,32639
14,scenario2_alt,geese,47724
14,scenario2_alt,TOTAL,211216
14,scenario3_alt,dblr,127367
14,scenario3_alt,shore,191342
14,scenario3_alt,cicon,144513
14,scenario3_alt,crane,33192
14,scenario3_alt,geese,54700
14,scenario3_alt,TOTAL,254594
