class,zone,area_unit,value_baseline,value_scenario,net_change,scenario,LABEL
PASTURE_OTHER,Yolo,ha,3840.0300000020848,3069.3601219654083,-770.6698780366764,scenario1_restoration,Other Pasture
PASTURE_OTHER,Sacramento,ha,4359.420000002924,3747.420148909092,-611.9998510938321,scenario1_restoration,Other Pasture
GRASSLAND,San Joaquin,ha,5516.550000004795,5026.410199731588,-490.1398002732067,scenario1_restoration,Grassland
GRASSLAND,Yolo,ha,3555.9000000016254,3127.770124286413,-428.12987571521217,scenario1_restoration,Grassland
IDLE,Yolo,ha,3066.3000000008337,2658.780105650425,-407.5198943504088,scenario1_restoration,Idle
IDLE,San Joaquin,ha,14213.970000018857,13847.310550242662,-366.6594497761944,scenario1_restoration,Idle
FIELD_OTHER,Yolo,ha,1586.7899999996066,1278.9000508189201,-307.8899491806865,scenario1_restoration,Other Field Crops
RICE,Yolo,ha,1090.7100000000578,785.8800312280655,-304.8299687719923,scenario1_restoration,Rice
WETLAND_OTHER,Yolo,ha,2341.709999999662,2059.6500818431377,-282.0599181565244,scenario1_restoration,Other Wetland
IDLE,Sacramento,ha,4144.050000002576,3870.450153797865,-273.59984620471096,scenario1_restoration,Idle
FIELD_CORN,Sacramento,ha,6886.800000007011,6646.500264108181,-240.29973589882957,scenario1_restoration,Corn
FIELD_CORN,San Joaquin,ha,20821.77000002954,20597.67081847787,-224.0991815516718,scenario1_restoration,Corn
WETLAND_OTHER,Sacramento,ha,1423.0799999997555,1210.410048097372,-212.66995190238345,scenario1_restoration,Other Wetland
GRASSLAND,Sacramento,ha,2056.9499999992017,1866.7800741791725,-190.16992582002922,scenario1_restoration,Grassland
GRAIN&HAY_WHEAT,Yolo,ha,1759.2299999994498,1579.230062752962,-179.99993724648766,scenario1_restoration,Wheat
PASTURE_ALFALFA,San Joaquin,ha,11286.180000014123,11116.89044174552,-169.2895582686033,scenario1_restoration,Alfalfa
ROW,San Joaquin,ha,12461.310000016023,12292.560488462448,-168.74951155357485,scenario1_restoration,Row Crops
RICE,Sacramento,ha,377.8199999999746,213.93000850081444,-163.88999149916015,scenario1_restoration,Rice
ROW,Yolo,ha,1440.6299999997395,1276.8300507366657,-163.7999492630738,scenario1_restoration,Row Crops
GRAIN&HAY_OTHER,Yolo,ha,1746.0899999994617,1601.2800636291504,-144.80993637031133,scenario1_restoration,Other Grains
VINEYARD,Yolo,ha,4862.250000003737,4719.870187550783,-142.37981245295396,scenario1_restoration,Vineyard
PASTURE_ALFALFA,Yolo,ha,995.4900000001084,857.8800340890884,-137.6099659110199,scenario1_restoration,Alfalfa
ORCHARD_DECIDUOUS,San Joaquin,ha,10368.54000001264,10231.200406551361,-137.33959346127813,scenario1_restoration,Orchard - Deciduous Fruits & Nuts
GRAIN&HAY_WHEAT,San Joaquin,ha,6184.710000005875,6064.290240973234,-120.4197590326412,scenario1_restoration,Wheat
FIELD_OTHER,San Joaquin,ha,2676.6000000002036,2565.6301019489765,-110.96989805122712,scenario1_restoration,Other Field Crops
PASTURE_OTHER,San Joaquin,ha,3944.8800000022543,3840.120152592659,-104.7598474095953,scenario1_restoration,Other Pasture
GRASSLAND,Solano,ha,5168.430000004232,5069.250201433897,-99.17979857033515,scenario1_restoration,Grassland
GRAIN&HAY_WHEAT,Sacramento,ha,1326.4199999998434,1241.5500493347645,-84.86995066507893,scenario1_restoration,Wheat
PASTURE_ALFALFA,Sacramento,ha,2372.579999999712,2300.2200914025307,-72.3599085971814,scenario1_restoration,Alfalfa
GRAIN&HAY_OTHER,Sacramento,ha,1197.5399999999606,1135.0800451040268,-62.459954895933834,scenario1_restoration,Other Grains
ORCHARD_DECIDUOUS,Sacramento,ha,2755.6200000003314,2694.060107052326,-61.5598929480052,scenario1_restoration,Orchard - Deciduous Fruits & Nuts
VINEYARD,San Joaquin,ha,5103.810000004128,5043.0602003932,-60.74979961092777,scenario1_restoration,Vineyard
PASTURE_OTHER,Solano,ha,7880.0400000086165,7821.18031078577,-58.8596892228461,scenario1_restoration,Other Pasture
FIELD_CORN,Yolo,ha,470.6099999999488,414.00001645088196,-56.60998354906684,scenario1_restoration,Corn
PASTURE_ALFALFA,Solano,ha,3235.1400000011067,3197.6101270616055,-37.529872939501274,scenario1_restoration,Alfalfa
FIELD_OTHER,Sacramento,ha,1415.1599999997627,1384.0200549960136,-31.139945003749062,scenario1_restoration,Other Field Crops
WETLAND_OTHER,San Joaquin,ha,2920.1400000005974,2889.990114837885,-30.149885162712508,scenario1_restoration,Other Wetland
WETLAND_OTHER,Solano,ha,1694.159999999509,1670.7600663900375,-23.399933609471418,scenario1_restoration,Other Wetland
GRAIN&HAY_OTHER,San Joaquin,ha,2597.4000000000756,2574.900102317333,-22.499897682742358,scenario1_restoration,Other Grains
PASTURE_OTHER,Contra Costa & Alameda,ha,4013.7300000023656,3991.320158600807,-22.409841401558424,scenario1_restoration,Other Pasture
IDLE,Solano,ha,2252.9699999995187,2230.920088648796,-22.049911350722596,scenario1_restoration,Idle
ROW,Sacramento,ha,780.0300000000321,759.5100301802158,-20.51996981981631,scenario1_restoration,Row Crops
WOODLAND,Sacramento,ha,168.93000000000512,148.50000590085983,-20.42999409914529,scenario1_restoration,Woodland
WOODLAND,San Joaquin,ha,317.51999999999134,301.5900119841099,-15.929988015881463,scenario1_restoration,Woodland
FIELD_CORN,Solano,ha,2421.359999999791,2405.970095604658,-15.389904395132817,scenario1_restoration,Corn
BARREN,San Joaquin,ha,161.73000000000485,149.0400059223175,-12.689994077687345,scenario1_restoration,Barren
ROW,Solano,ha,587.51999999996406,578.2500229775906,-9.269977022373496,scenario1_restoration,Row Crops
WETLAND_OTHER,Contra Costa & Alameda,ha,2119.049999999302,2111.4900839030743,-7.55991609622788,scenario1_restoration,Other Wetland
FIELD_OTHER,Solano,ha,1804.7699999994084,1800.5400715470314,-4.229928452376953,scenario1_restoration,Other Field Crops
VINEYARD,Sacramento,ha,4879.890000003766,4875.750193744898,-4.139806258867793,scenario1_restoration,Vineyard
GRAIN&HAY_OTHER,Solano,ha,1633.9499999995637,1629.900064766407,-4.0499352331567025,scenario1_restoration,Other Grains
WOODLAND,Yolo,ha,58.50000000000096,54.540002167224884,-3.959997832776075,scenario1_restoration,Woodland
GRAIN&HAY_WHEAT,Solano,ha,1296.9899999998702,1293.8400514125824,-3.1499485872877813,scenario1_restoration,Wheat
WOODLAND,Solano,ha,43.110000000000376,40.32000160217285,-2.7899983978275245,scenario1_restoration,Woodland
URBAN,Sacramento,ha,3327.7500000012565,3325.950132161379,-1.7998678398776065,scenario1_restoration,Urban
GRASSLAND,Contra Costa & Alameda,ha,4193.9100000026565,4192.110166579485,-1.799833423171549,scenario1_restoration,Grassland
