scenario,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCENARIO,SCENARIO_SE,BASELINE,BASELINE_SE,net_change,net_change_se,change_prop,change_prop_se,change_pct,change_pct_se
scenario1_restoration,Agricultural Livelihoods,livelihoods,Agricultural Jobs,number of employees per 100ha,245830.29666768678,14209.09177256706,251375.7862059932,14421.872889551187,-5545.489538306429,20245.708351243342,-0.02206055572020013,0.08054955629781624,-2.2060555720200132,8.054955629781624
scenario1_restoration,Agricultural Livelihoods,livelihoods,Annual Wages,annual dollars per employee (thousands),38.69750096778964,0.6133768124229415,38.72684112935419,0.6138994828298515,-0.02934016156455499,0.8678154694616175,-7.576182489698526e-4,0.02240863361918367,-0.07576182489698526,2.240863361918367
scenario1_restoration,Agricultural Livelihoods,production value,Gross Production Value,USD per ha per year (millions),797689.1866727817,20401.462508506775,814558.3476816936,20702.285798169465,-16869.161008911906,29065.51753805696,-0.020709579684405736,0.03568642997292167,-2.0709579684405734,3.568642997292167
scenario1_restoration,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,8891634.21664621,NA,8321171.617073545,NA,570462.5995726641,NA,0.06855556234439122,NA,6.855556234439122,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,9151057.863522984,NA,8500081.034859188,NA,650976.8286637962,NA,0.07658477913258861,NA,7.658477913258861,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,8013409.83240176,NA,7684861.429093509,NA,328548.40330825094,NA,0.04275267762986923,NA,4.275267762986923,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,3598999.645493552,NA,3497526.95029796,NA,101472.69519559201,NA,0.02901269858319387,NA,2.901269858319387,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,4181081.572167586,NA,3721512.780561402,NA,459568.7916061841,NA,0.12348977921200548,NA,12.348977921200548,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Song Sparrow,ha,24988330.59181182,NA,24808444.475219153,NA,179886.116592668,NA,0.007251003454583942,NA,0.7251003454583942,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Spotted Towhee,ha,18221545.57397207,NA,17327798.0473321,NA,893747.5266399682,NA,0.05157882866586013,NA,5.1578828665860135,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Yellow-breasted Chat,ha,1221065.2179232282,NA,1246455.7113711827,NA,-25390.493447954534,NA,-0.02037015291945137,NA,-2.037015291945137,NA
scenario1_restoration,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,2371074.949992924,NA,2343767.7604282484,NA,27307.18956467556,NA,0.011650979259005613,NA,1.1650979259005612,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_fall,Cranes,ha,1058593.7959290985,NA,1030219.2613740552,NA,28374.534555043327,NA,0.02754222874575145,NA,2.7542228745751447,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_fall,Dabbling Ducks,ha,1812367.1872377708,NA,1334311.198999474,NA,478055.9882382967,NA,0.3582792294606868,NA,35.82792294606868,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_fall,Geese,ha,999417.7702972228,NA,940626.8215512806,NA,58790.94874594221,NA,0.06250188427434406,NA,6.250188427434406,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_fall,Herons/Egrets,ha,4699311.455441846,NA,4494040.929309527,NA,205270.5261323182,NA,0.045676158575586524,NA,4.5676158575586525,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_fall,Shorebirds,ha,2413223.7030304763,NA,2006790.830626525,NA,406432.87240395136,NA,0.20252876692538108,NA,20.25287669253811,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_win,Cranes,ha,2908578.762802854,NA,2968117.571044962,NA,-59538.80824210774,NA,-0.020059450751860337,NA,-2.005945075186034,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_win,Dabbling Ducks,ha,4405692.556074365,NA,3996614.964070326,NA,409077.59200403886,NA,0.10235601770039325,NA,10.235601770039326,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_win,Diving Ducks,ha,1645640.9791599992,NA,1356283.114867662,NA,289357.8642923371,NA,0.21334621151025013,NA,21.33462115102501,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_win,Geese,ha,5048267.225079451,NA,4921122.132914599,NA,127145.09216485173,NA,0.025836605703087556,NA,2.5836605703087554,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_win,Herons/Egrets,ha,5479231.735299859,NA,5232194.561819236,NA,247037.1734806234,NA,0.04721482937261578,NA,4.721482937261578,NA
scenario1_restoration,Biodiversity Support,species distribution: waterbird_win,Shorebirds,ha,3771500.5301451106,NA,3489006.9881600924,NA,282493.5419850182,NA,0.08096674582299691,NA,8.096674582299691,NA
scenario1_restoration,Climate Change Resilience,climate change resilience,Drought,ranking,1489227.1447508035,13797.538566477522,1507272.8602507228,14103.556686813741,-18045.715499919374,19730.24028519681,-0.011972427803760503,0.013090504929878746,-1.1972427803760504,1.3090504929878746
scenario1_restoration,Climate Change Resilience,climate change resilience,Flood,ranking,1598919.4013651584,14372.085998021968,1581784.7709105243,14696.507570171683,17134.630454634083,20555.87971103773,0.010832466445337478,0.012995760584437842,1.0832466445337479,1.2995760584437843
