scenario,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,SCORE_TOTAL,UNIT
baseline_win,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),9211.859999999999,ha
baseline_win,Biodiversity Support,Waterbird habitat,Geese (winter),18400.41,ha
baseline_win,Biodiversity Support,Waterbird habitat,Shorebirds (winter),22959.54,ha
scenario1_restoration_win,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),43031.34,ha
scenario1_restoration_win,Biodiversity Support,Waterbird habitat,Cranes (winter),14301.81,ha
scenario1_restoration_win,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),29608.559999999998,ha
scenario1_restoration_win,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),11770.199999999999,ha
scenario1_restoration_win,Biodiversity Support,Waterbird habitat,Geese (winter),18775.17,ha
scenario1_restoration_win,Biodiversity Support,Waterbird habitat,Shorebirds (winter),25778.969999999998,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),40373.549999999996,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird habitat,Cranes (winter),13773.6,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),25447.23,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),9182.43,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird habitat,Geese (winter),21262.32,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird habitat,Shorebirds (winter),22751.46,ha
scenario3_combo_win,Biodiversity Support,Waterbird habitat,Herons/Egrets (winter),44859.24,ha
scenario3_combo_win,Biodiversity Support,Waterbird habitat,Cranes (winter),13054.59,ha
scenario3_combo_win,Biodiversity Support,Waterbird habitat,Dabbling Ducks (winter),28886.76,ha
scenario3_combo_win,Biodiversity Support,Waterbird habitat,Diving Ducks (winter),11682.81,ha
scenario3_combo_win,Biodiversity Support,Waterbird habitat,Geese (winter),21112.559999999998,ha
scenario3_combo_win,Biodiversity Support,Waterbird habitat,Shorebirds (winter),25513.739999999998,ha
baseline,Biodiversity Support,Riparian landbird habitat,Total,227630.88,ha
scenario1_restoration,Biodiversity Support,Riparian landbird habitat,Total,233728.11,ha
scenario2_perennialexpand,Biodiversity Support,Riparian landbird habitat,Total,223080.03,ha
scenario3_combo,Biodiversity Support,Riparian landbird habitat,Total,231880.13999999998,ha
baseline,Biodiversity Support,Waterbird habitat,Total (fall),25067.879999999997,ha
scenario1_restoration,Biodiversity Support,Waterbird habitat,Total (fall),28955.25,ha
scenario2_perennialexpand,Biodiversity Support,Waterbird habitat,Total (fall),24215.67,ha
scenario3_combo,Biodiversity Support,Waterbird habitat,Total (fall),27982.8,ha
baseline_win,Biodiversity Support,Waterbird habitat,Total (winter),55602.99,ha
scenario1_restoration_win,Biodiversity Support,Waterbird habitat,Total (winter),59447.43,ha
scenario2_perennialexpand_win,Biodiversity Support,Waterbird habitat,Total (winter),54365.939999999995,ha
scenario3_combo_win,Biodiversity Support,Waterbird habitat,Total (winter),57691.71,ha
