scenario,spp,METRIC_SUBTYPE,METRIC,n,value
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,2,293316
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,2,1990075
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,2,95824
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,2,101862
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,2,699762
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,2,1416
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,2,32395
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,2,1560740
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,2,272873
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,2,46
scenario3_combo_alt,YEWA,Riparian landbird habitat,Yellow Warbler,2,289946
scenario3_combo_alt,TOTAL,Riparian landbird habitat,Total,2,2089387
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,3,67461
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,3,36039
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,3,386234
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,3,438528
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,3,20594
baseline,SOSP,Riparian landbird habitat,Song Sparrow,3,1791258
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,3,223813
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,3,52
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,3,191250
baseline,TOTAL,Riparian landbird habitat,Total,3,2259992
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,3,109559
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,3,66642
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,3,436019
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,3,439593
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,3,45308
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,3,1780584
scenario1_restoration,SPTO,Riparian landbird habitat,Spotted Towhee,3,324268
scenario1_restoration,YBCH,Riparian landbird habitat,Yellow-breasted Chat,3,52
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,3,218203
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,3,2326469
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,3,57823
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,3,31191
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,3,356676
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,3,438458
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,3,15001
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,3,1830860
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,3,230152
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,3,51
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,3,188712
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,3,2276970
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,3,109060
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,3,65592
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,3,411018
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,3,439426
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,3,39635
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,3,1807140
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,3,365484
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,3,52
scenario3_combo_alt,YEWA,Riparian landbird habitat,Yellow Warbler,3,221084
scenario3_combo_alt,TOTAL,Riparian landbird habitat,Total,3,2351748
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,4,31302
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,4,92857
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,4,415727
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,4,9194
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,4,29202
baseline,SOSP,Riparian landbird habitat,Song Sparrow,4,1493517
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,4,518616
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,4,757139
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,4,46213
baseline,TOTAL,Riparian landbird habitat,Total,4,2273432
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,4,55259
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,4,165894
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,4,437041
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,4,18825
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,4,78902
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,4,1480689
scenario1_restoration,SPTO,Riparian landbird habitat,Spotted Towhee,4,646428
scenario1_restoration,YBCH,Riparian landbird habitat,Yellow-breasted Chat,4,735946
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,4,61889
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,4,2336577
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,4,28615
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,4,84117
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,4,400439
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,4,7083
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,4,21654
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,4,1371185
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,4,602157
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,4,583893
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,4,44246
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,4,2152208
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,4,56443
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,4,160232
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,4,425440
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,4,18544
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,4,75747
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,4,1360263
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,4,765874
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,4,563696
scenario3_combo_alt,YEWA,Riparian landbird habitat,Yellow Warbler,4,63743
scenario3_combo_alt,TOTAL,Riparian landbird habitat,Total,4,2256551
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,5,38062
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,5,47344
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,5,458067
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,5,444089
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,5,9609
baseline,SOSP,Riparian landbird habitat,Song Sparrow,5,1011248
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,5,179639
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,5,12779
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,5,399545
baseline,TOTAL,Riparian landbird habitat,Total,5,1790035
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,5,82207
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,5,73937
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,5,484517
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,5,472222
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,5,36225
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,5,1050276
scenario1_restoration,SPTO,Riparian landbird habitat,Spotted Towhee,5,242329
scenario1_restoration,YBCH,Riparian landbird habitat,Yellow-breasted Chat,5,12559
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,5,397108
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,5,1879391
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,5,34558
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,5,40416
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,5,447260
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,5,443891
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,5,6861
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,5,1030413
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,5,217914
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,5,10125
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,5,374332
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,5,1798741
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,5,83026
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,5,71429
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,5,477667
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,5,473269
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,5,31464
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,5,1069009
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,5,299953
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,5,10444
scenario3_combo_alt,YEWA,Riparian landbird habitat,Yellow Warbler,5,381502
scenario3_combo_alt,TOTAL,Riparian landbird habitat,Total,5,1906464
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,6,27418
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,6,45886
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,6,338588
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,6,429439
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,6,20494
baseline,SOSP,Riparian landbird habitat,Song Sparrow,6,861791
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,6,329631
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,6,107
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,6,29377
baseline,TOTAL,Riparian landbird habitat,Total,6,1593521
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,6,79709
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,6,66152
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,6,379124
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,6,417520
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,6,55507
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,6,991928
scenario1_restoration,SPTO,Riparian landbird habitat,Spotted Towhee,6,375092
scenario1_restoration,YBCH,Riparian landbird habitat,Yellow-breasted Chat,6,112
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,6,40118
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,6,1745079
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,6,22952
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,6,41696
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,6,323007
