scenario,spp,METRIC_SUBTYPE,METRIC,n,value
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,18,184634
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,18,1736831
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,18,25127
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,18,73053
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,18,350997
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,18,8644
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,18,25137
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,18,1118789
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,18,472405
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,18,178
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,18,240051
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,18,1646534
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,18,72746
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,18,179045
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,18,398650
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,18,48385
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,18,65088
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,18,1152358
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,18,554818
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,18,181
scenario3_combo_alt,YEWA,Riparian landbird habitat,Yellow Warbler,18,230942
scenario3_combo_alt,TOTAL,Riparian landbird habitat,Total,18,1750331
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,19,68393
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,19,32076
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,19,442950
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,19,13572
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,19,17182
baseline,SOSP,Riparian landbird habitat,Song Sparrow,19,1009129
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,19,259920
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,19,42432
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,19,50726
baseline,TOTAL,Riparian landbird habitat,Total,19,1389773
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,19,98887
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,19,65426
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,19,506424
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,19,12972
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,19,40701
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,19,1084397
scenario1_restoration,SPTO,Riparian landbird habitat,Spotted Towhee,19,356855
scenario1_restoration,YBCH,Riparian landbird habitat,Yellow-breasted Chat,19,42403
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,19,60175
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,19,1534901
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,19,60544
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,19,25471
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,19,398171
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,19,9822
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,19,13222
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,19,1081828
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,19,267161
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,19,40923
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,19,49932
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,19,1428279
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,19,99014
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,19,60526
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,19,463394
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,19,10084
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,19,35199
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,19,1180115
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,19,426778
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,19,41288
scenario3_combo_alt,YEWA,Riparian landbird habitat,Yellow Warbler,19,64014
scenario3_combo_alt,TOTAL,Riparian landbird habitat,Total,19,1644509
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,20,47322
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,20,38000
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,20,801507
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,20,283
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,20,18870
baseline,SOSP,Riparian landbird habitat,Song Sparrow,20,1898543
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,20,199890
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,20,6273
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,20,46364
baseline,TOTAL,Riparian landbird habitat,Total,20,2342985
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,20,85709
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,20,67473
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,20,842185
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,20,2119
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,20,54099
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,20,1907359
scenario1_restoration,SPTO,Riparian landbird habitat,Spotted Towhee,20,269707
scenario1_restoration,YBCH,Riparian landbird habitat,Yellow-breasted Chat,20,14944
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,20,53585
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,20,2409976
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,20,38435
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,20,28135
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,20,777060
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,20,46
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,20,13921
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,20,1805277
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,20,212975
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,20,2807
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,20,47037
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,20,2246223
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,20,83800
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,20,63385
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,20,817003
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,20,1632
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,20,49112
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,20,1841447
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,20,304098
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,20,13696
scenario3_combo_alt,YEWA,Riparian landbird habitat,Yellow Warbler,20,57593
scenario3_combo_alt,TOTAL,Riparian landbird habitat,Total,20,2352843
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,21,51883
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,21,31765
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,21,390235
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,21,24191
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,21,17792
baseline,SOSP,Riparian landbird habitat,Song Sparrow,21,1605450
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,21,780100
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,21,340556
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,21,39481
baseline,TOTAL,Riparian landbird habitat,Total,21,2286338
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,21,88146
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,21,70876
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,21,434395
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,21,41452
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,21,52375
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,21,1651161
scenario1_restoration,SPTO,Riparian landbird habitat,Spotted Towhee,21,862129
scenario1_restoration,YBCH,Riparian landbird habitat,Yellow-breasted Chat,21,320194
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,21,52712
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,21,2360870
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,21,44347
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,21,26607
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,21,363204
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,21,19531
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,21,12842
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,21,1467166
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,21,1013168
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,21,269823
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,21,36116
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,21,2311398
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,21,87439
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,21,67601
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,21,408108
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,21,36702
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,21,47850
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,21,1526493
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,21,1077081
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,21,250909
scenario3_combo_alt,YEWA,Riparian landbird habitat,Yellow Warbler,21,53028
scenario3_combo_alt,TOTAL,Riparian landbird habitat,Total,21,2376923
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,22,36236
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,22,46845
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,22,338867
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,22,4028
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,22,44563
baseline,SOSP,Riparian landbird habitat,Song Sparrow,22,1157549
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,22,213764
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,22,555
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,22,151317
baseline,TOTAL,Riparian landbird habitat,Total,22,1476064
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,22,81313
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,22,85391
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,22,391743
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,22,3788
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,22,92455
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,22,1158638
scenario1_restoration,SPTO,Riparian landbird habitat,Spotted Towhee,22,281731
scenario1_restoration,YBCH,Riparian landbird habitat,Yellow-breasted Chat,22,716
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,22,154931
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,22,1556001
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,22,29793
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,22,41901
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,22,322120
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,22,3978
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,22,35332
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,22,1207666
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,22,233370
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,22,335
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,22,150798
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,22,1526062
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,22,79036
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,22,88414
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,22,377029
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,22,3609
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,22,85055
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,22,1199509
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,22,319418
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,22,626
scenario3_combo_alt,YEWA,Riparian landbird habitat,Yellow Warbler,22,159657
scenario3_combo_alt,TOTAL,Riparian landbird habitat,Total,22,1609779
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,23,51232
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,23,72599
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,23,242681
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,23,451554
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,23,19690
baseline,SOSP,Riparian landbird habitat,Song Sparrow,23,1594686
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,23,346015
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,23,388693
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,23,129870
baseline,TOTAL,Riparian landbird habitat,Total,23,2162052
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,23,95687
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,23,107932
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,23,286818
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,23,451646
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,23,63876
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,23,1621758
scenario1_restoration,SPTO,Riparian landbird habitat,Spotted Towhee,23,441928
scenario1_restoration,YBCH,Riparian landbird habitat,Yellow-breasted Chat,23,372222
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,23,144906
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,23,2251633
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,23,40840
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,23,74191
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,23,233729
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,23,449293
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,23,15718
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,23,1463021
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,23,395273
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,23,335870
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,23,148720
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,23,2085545
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,23,95128
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,23,116331
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,23,276242
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,23,449711
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,23,62373
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,23,1497294
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,23,514422
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,23,322249
scenario3_combo_alt,YEWA,Riparian landbird habitat,Yellow Warbler,23,163299
scenario3_combo_alt,TOTAL,Riparian landbird habitat,Total,23,2198548
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,24,67221
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,24,21341
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,24,410409
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,24,438718
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,24,24787
baseline,SOSP,Riparian landbird habitat,Song Sparrow,24,1265916
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,24,435958
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,24,34563
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,24,237055
baseline,TOTAL,Riparian landbird habitat,Total,24,2093755
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,24,105490
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,24,56983
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,24,460814
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,24,452123
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,24,52886
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,24,1332385
scenario1_restoration,SPTO,Riparian landbird habitat,Spotted Towhee,24,531323
scenario1_restoration,YBCH,Riparian landbird habitat,Yellow-breasted Chat,24,43671
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,24,264861
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,24,2213793
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,24,59631
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,24,18086
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,24,396661
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,24,437082
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,24,17960
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,24,1255882
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,24,564907
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,24,33479
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,24,230601
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,24,2133133
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,24,104589
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,24,56476
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,24,446660
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,24,443950
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,24,44937
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,24,1347425
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,24,666424
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,24,43576
scenario3_combo_alt,YEWA,Riparian landbird habitat,Yellow Warbler,24,263388
scenario3_combo_alt,TOTAL,Riparian landbird habitat,Total,24,2263496
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,25,58678
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,25,79573
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,25,433599
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,25,445231
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,25,28734
baseline,SOSP,Riparian landbird habitat,Song Sparrow,25,1842033
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,25,299716
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,25,2348
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,25,30898
baseline,TOTAL,Riparian landbird habitat,Total,25,2319092
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,25,101049
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,25,143833
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,25,480511
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,25,444243
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,25,96762
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,25,1882319
scenario1_restoration,SPTO,Riparian landbird habitat,Spotted Towhee,25,363777
scenario1_restoration,YBCH,Riparian landbird habitat,Yellow-breasted Chat,25,2386
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,25,38034
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,25,2408281
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,25,50413
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,25,72836
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,25,405268
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,25,443713
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,25,19875
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,25,1930234
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,25,320785
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,25,2167
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,25,28519
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,25,2380050
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,25,96893
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,25,143414
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,25,451681
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,25,442691
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,25,92975
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,25,1958990
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,25,402290
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,25,2242
scenario3_combo_alt,YEWA,Riparian landbird habitat,Yellow Warbler,25,36201
scenario3_combo_alt,TOTAL,Riparian landbird habitat,Total,25,2461421
baseline,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,26,50496
baseline,BHGR,Riparian landbird habitat,Black-headed Grosbeak,26,26772
baseline,COYE,Riparian landbird habitat,Common Yellowthroat,26,633427
baseline,LAZB,Riparian landbird habitat,Lazuli Bunting,26,320885
baseline,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,26,18443
baseline,SOSP,Riparian landbird habitat,Song Sparrow,26,1308580
baseline,SPTO,Riparian landbird habitat,Spotted Towhee,26,320964
baseline,YBCH,Riparian landbird habitat,Yellow-breasted Chat,26,3985
baseline,YEWA,Riparian landbird habitat,Yellow Warbler,26,56110
baseline,TOTAL,Riparian landbird habitat,Total,26,2007079
scenario1_restoration,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,26,97070
scenario1_restoration,BHGR,Riparian landbird habitat,Black-headed Grosbeak,26,46870
scenario1_restoration,COYE,Riparian landbird habitat,Common Yellowthroat,26,667670
scenario1_restoration,LAZB,Riparian landbird habitat,Lazuli Bunting,26,314040
scenario1_restoration,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,26,53247
scenario1_restoration,SOSP,Riparian landbird habitat,Song Sparrow,26,1325472
scenario1_restoration,SPTO,Riparian landbird habitat,Spotted Towhee,26,380595
scenario1_restoration,YBCH,Riparian landbird habitat,Yellow-breasted Chat,26,4749
scenario1_restoration,YEWA,Riparian landbird habitat,Yellow Warbler,26,69192
scenario1_restoration,TOTAL,Riparian landbird habitat,Total,26,2071604
scenario2_perennialexpand_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,26,41828
scenario2_perennialexpand_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,26,22518
scenario2_perennialexpand_alt,COYE,Riparian landbird habitat,Common Yellowthroat,26,566068
scenario2_perennialexpand_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,26,324082
scenario2_perennialexpand_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,26,13846
scenario2_perennialexpand_alt,SOSP,Riparian landbird habitat,Song Sparrow,26,1255891
scenario2_perennialexpand_alt,SPTO,Riparian landbird habitat,Spotted Towhee,26,423367
scenario2_perennialexpand_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,26,2062
scenario2_perennialexpand_alt,YEWA,Riparian landbird habitat,Yellow Warbler,26,58572
scenario2_perennialexpand_alt,TOTAL,Riparian landbird habitat,Total,26,2005406
scenario3_combo_alt,ATFL,Riparian landbird habitat,Ash-throated Flycatcher,26,96649
scenario3_combo_alt,BHGR,Riparian landbird habitat,Black-headed Grosbeak,26,43172
scenario3_combo_alt,COYE,Riparian landbird habitat,Common Yellowthroat,26,596396
scenario3_combo_alt,LAZB,Riparian landbird habitat,Lazuli Bunting,26,316031
scenario3_combo_alt,NUWO,Riparian landbird habitat,Nuttall's Woodpecker,26,48852
scenario3_combo_alt,SOSP,Riparian landbird habitat,Song Sparrow,26,1283820
scenario3_combo_alt,SPTO,Riparian landbird habitat,Spotted Towhee,26,487842
scenario3_combo_alt,YBCH,Riparian landbird habitat,Yellow-breasted Chat,26,3643
