n,scenario,spp,value
7,scenario2_alt,crane,25884
7,scenario2_alt,geese,425003
7,scenario2_alt,divduck,98490
7,scenario2_alt,TOTAL,553684
7,scenario3_alt,dblr,224924
7,scenario3_alt,shore,333336
7,scenario3_alt,cicon,252765
7,scenario3_alt,crane,24580
7,scenario3_alt,geese,443222
7,scenario3_alt,divduck,124025
7,scenario3_alt,TOTAL,582702
8,baseline,dblr,271838
8,baseline,shore,228857
8,baseline,cicon,496185
8,baseline,crane,150711
8,baseline,geese,273074
8,baseline,divduck,108405
8,baseline,TOTAL,647892
8,scenario1,dblr,307697
8,scenario1,shore,241230
8,scenario1,cicon,565765
8,scenario1,crane,148015
8,scenario1,geese,292093
8,scenario1,divduck,136055
8,scenario1,TOTAL,702729
8,scenario2_alt,dblr,269188
8,scenario2_alt,shore,220644
8,scenario2_alt,cicon,532430
8,scenario2_alt,crane,156833
8,scenario2_alt,geese,290341
8,scenario2_alt,divduck,106813
8,scenario2_alt,TOTAL,638955
8,scenario3_alt,dblr,304805
8,scenario3_alt,shore,233890
8,scenario3_alt,cicon,599418
8,scenario3_alt,crane,154821
8,scenario3_alt,geese,307241
8,scenario3_alt,divduck,133976
8,scenario3_alt,TOTAL,692228
9,baseline,dblr,382576
9,baseline,shore,268951
9,baseline,cicon,595226
9,baseline,crane,238522
9,baseline,geese,295818
9,baseline,divduck,92404
9,baseline,TOTAL,763438
9,scenario1,dblr,411270
9,scenario1,shore,293048
9,scenario1,cicon,614107
9,scenario1,crane,231968
9,scenario1,geese,313359
9,scenario1,divduck,121448
9,scenario1,TOTAL,780603
9,scenario2_alt,dblr,359365
9,scenario2_alt,shore,262222
9,scenario2_alt,cicon,588789
9,scenario2_alt,crane,215391
9,scenario2_alt,geese,321648
9,scenario2_alt,divduck,90759
9,scenario2_alt,TOTAL,730411
9,scenario3_alt,dblr,389580
9,scenario3_alt,shore,291585
9,scenario3_alt,cicon,606595
9,scenario3_alt,crane,209124
9,scenario3_alt,geese,332823
9,scenario3_alt,divduck,119191
9,scenario3_alt,TOTAL,746851
10,baseline,dblr,246233
10,baseline,shore,185153
10,baseline,cicon,457892
10,baseline,crane,229940
10,baseline,geese,128120
10,baseline,divduck,51939
10,baseline,TOTAL,638164
10,scenario1,dblr,284524
10,scenario1,shore,223555
10,scenario1,cicon,485791
10,scenario1,crane,219698
10,scenario1,geese,155567
10,scenario1,divduck,79349
10,scenario1,TOTAL,674724
10,scenario2_alt,dblr,247255
10,scenario2_alt,shore,175275
10,scenario2_alt,cicon,497211
10,scenario2_alt,crane,210023
10,scenario2_alt,geese,151775
10,scenario2_alt,divduck,54035
10,scenario2_alt,TOTAL,621923
10,scenario3_alt,dblr,285428
10,scenario3_alt,shore,213156
10,scenario3_alt,cicon,529581
10,scenario3_alt,crane,200082
10,scenario3_alt,geese,180331
10,scenario3_alt,divduck,78894
10,scenario3_alt,TOTAL,663158
11,baseline,dblr,284598
11,baseline,shore,146907
11,baseline,cicon,345269
11,baseline,crane,59127
11,baseline,geese,316843
11,baseline,divduck,113363
11,baseline,TOTAL,536041
11,scenario1,dblr,325108
11,scenario1,shore,171106
11,scenario1,cicon,373420
11,scenario1,crane,58011
11,scenario1,geese,328811
11,scenario1,divduck,142263
11,scenario1,TOTAL,565200
11,scenario2_alt,dblr,272621
11,scenario2_alt,shore,140619
11,scenario2_alt,cicon,362857
11,scenario2_alt,crane,54225
11,scenario2_alt,geese,345203
11,scenario2_alt,divduck,110132
11,scenario2_alt,TOTAL,526544
11,scenario3_alt,dblr,312897
11,scenario3_alt,shore,164055
11,scenario3_alt,cicon,393184
11,scenario3_alt,crane,52702
11,scenario3_alt,geese,357573
11,scenario3_alt,divduck,137542
11,scenario3_alt,TOTAL,554458
12,baseline,dblr,401486
12,baseline,shore,246178
12,baseline,cicon,108417
12,baseline,crane,213842
12,baseline,geese,112773
12,baseline,divduck,79694
12,baseline,TOTAL,498547
12,scenario1,dblr,447166
12,scenario1,shore,277925
12,scenario1,cicon,142675
12,scenario1,crane,207141
12,scenario1,geese,116243
12,scenario1,divduck,106607
12,scenario1,TOTAL,540667
12,scenario2_alt,dblr,388980
12,scenario2_alt,shore,237126
12,scenario2_alt,cicon,128188
12,scenario2_alt,crane,196040
12,scenario2_alt,geese,134984
12,scenario2_alt,divduck,80587
12,scenario2_alt,TOTAL,486585
12,scenario3_alt,dblr,434232
12,scenario3_alt,shore,269362
12,scenario3_alt,cicon,157457
12,scenario3_alt,crane,189100
12,scenario3_alt,geese,136239
12,scenario3_alt,divduck,105738
12,scenario3_alt,TOTAL,523008
13,baseline,dblr,221074
13,baseline,shore,212862
13,baseline,cicon,277539
13,baseline,crane,168647
13,baseline,geese,204234
13,baseline,divduck,106699
13,baseline,TOTAL,592960
13,scenario1,dblr,256142
13,scenario1,shore,242951
13,scenario1,cicon,297092
13,scenario1,crane,156535
13,scenario1,geese,210000
13,scenario1,divduck,135042
13,scenario1,TOTAL,606434
13,scenario2_alt,dblr,215999
13,scenario2_alt,shore,206233
13,scenario2_alt,cicon,285543
13,scenario2_alt,crane,150870
13,scenario2_alt,geese,251468
13,scenario2_alt,divduck,105560
13,scenario2_alt,TOTAL,585583
13,scenario3_alt,dblr,252153
13,scenario3_alt,shore,237108
13,scenario3_alt,cicon,307005
13,scenario3_alt,crane,138943
13,scenario3_alt,geese,253818
13,scenario3_alt,divduck,132925
13,scenario3_alt,TOTAL,595819
14,baseline,dblr,285061
14,baseline,shore,156195
14,baseline,cicon,383074
14,baseline,crane,32340
14,baseline,geese,186105
14,baseline,divduck,77744
14,baseline,TOTAL,593413
14,scenario1,dblr,334283
14,scenario1,shore,175549
14,scenario1,cicon,447909
14,scenario1,crane,29593
14,scenario1,geese,184287
14,scenario1,divduck,105839
14,scenario1,TOTAL,648499
14,scenario2_alt,dblr,286421
14,scenario2_alt,shore,154860
14,scenario2_alt,cicon,404760
14,scenario2_alt,crane,37863
14,scenario2_alt,geese,241885
14,scenario2_alt,divduck,79671
14,scenario2_alt,TOTAL,604649
14,scenario3_alt,dblr,335602
14,scenario3_alt,shore,172097
14,scenario3_alt,cicon,465749
14,scenario3_alt,crane,33698
14,scenario3_alt,geese,241057
14,scenario3_alt,divduck,106566
14,scenario3_alt,TOTAL,650322
15,baseline,dblr,361253
15,baseline,shore,79380
15,baseline,cicon,742876
15,baseline,crane,235798
15,baseline,geese,257723
15,baseline,divduck,130255
15,baseline,TOTAL,813410
15,scenario1,dblr,400048
15,scenario1,shore,97711
15,scenario1,cicon,773358
15,scenario1,crane,231692
15,scenario1,geese,280196
15,scenario1,divduck,156408
15,scenario1,TOTAL,834960
15,scenario2_alt,dblr,350032
15,scenario2_alt,shore,75079
15,scenario2_alt,cicon,720417
15,scenario2_alt,crane,205458
15,scenario2_alt,geese,262768
15,scenario2_alt,divduck,126907
15,scenario2_alt,TOTAL,761743
15,scenario3_alt,dblr,388438
15,scenario3_alt,shore,93947
15,scenario3_alt,cicon,751010
15,scenario3_alt,crane,201877
15,scenario3_alt,geese,286838
15,scenario3_alt,divduck,152157
15,scenario3_alt,TOTAL,784583
16,baseline,dblr,317965
16,baseline,shore,256032
16,baseline,cicon,663482
16,baseline,crane,28548
16,baseline,geese,66885
16,baseline,divduck,81975
16,baseline,TOTAL,712071
16,scenario1,dblr,356771
16,scenario1,shore,287730
16,scenario1,cicon,681937
16,scenario1,crane,27622
16,scenario1,geese,71493
16,scenario1,divduck,109879
16,scenario1,TOTAL,735123
16,scenario2_alt,dblr,311269
16,scenario2_alt,shore,255297
16,scenario2_alt,cicon,663629
16,scenario2_alt,crane,27425
16,scenario2_alt,geese,91298
16,scenario2_alt,divduck,73713
16,scenario2_alt,TOTAL,692730
16,scenario3_alt,dblr,349770
16,scenario3_alt,shore,283558
16,scenario3_alt,cicon,681421
16,scenario3_alt,crane,25539
16,scenario3_alt,geese,97234
16,scenario3_alt,divduck,100997
16,scenario3_alt,TOTAL,714160
17,baseline,dblr,321922
17,baseline,shore,158337
17,baseline,cicon,96178
17,baseline,crane,215553
17,baseline,geese,267654
17,baseline,divduck,139415
17,baseline,TOTAL,455209
17,scenario1,dblr,363106
17,scenario1,shore,168485
17,scenario1,cicon,115355
17,scenario1,crane,207507
17,scenario1,geese,253195
17,scenario1,divduck,174979
17,scenario1,TOTAL,483756
17,scenario2_alt,dblr,315897
17,scenario2_alt,shore,151677
17,scenario2_alt,cicon,103874
17,scenario2_alt,crane,185436
17,scenario2_alt,geese,272971
17,scenario2_alt,divduck,132789
17,scenario2_alt,TOTAL,440491
17,scenario3_alt,dblr,356579
17,scenario3_alt,shore,160365
17,scenario3_alt,cicon,120477
17,scenario3_alt,crane,178538
17,scenario3_alt,geese,256495
17,scenario3_alt,divduck,168430
17,scenario3_alt,TOTAL,468270
18,baseline,dblr,237483
18,baseline,shore,218603
18,baseline,cicon,323397
18,baseline,crane,143372
18,baseline,geese,119695
18,baseline,divduck,70469
18,baseline,TOTAL,475303
18,scenario1,dblr,277052
18,scenario1,shore,244341
18,scenario1,cicon,363487
18,scenario1,crane,137772
18,scenario1,geese,135608
18,scenario1,divduck,96963
18,scenario1,TOTAL,519412
18,scenario2_alt,dblr,232726
18,scenario2_alt,shore,224595
18,scenario2_alt,cicon,331484
18,scenario2_alt,crane,134794
18,scenario2_alt,geese,159360
18,scenario2_alt,divduck,73065
18,scenario2_alt,TOTAL,465873
18,scenario3_alt,dblr,272325
18,scenario3_alt,shore,252242
18,scenario3_alt,cicon,369041
18,scenario3_alt,crane,128111
18,scenario3_alt,geese,176037
18,scenario3_alt,divduck,99605
18,scenario3_alt,TOTAL,507118
19,baseline,dblr,294803
19,baseline,shore,303862
19,baseline,cicon,439371
19,baseline,crane,35568
19,baseline,geese,177348
19,baseline,divduck,125218
19,baseline,TOTAL,560504
19,scenario1,dblr,348806
19,scenario1,shore,306454
19,scenario1,cicon,468747
19,scenario1,crane,34084
19,scenario1,geese,179997
19,scenario1,divduck,151120
19,scenario1,TOTAL,590778
19,scenario2_alt,dblr,290616
19,scenario2_alt,shore,289700
19,scenario2_alt,cicon,427895
19,scenario2_alt,crane,30975
19,scenario2_alt,geese,172914
19,scenario2_alt,divduck,125259
19,scenario2_alt,TOTAL,534237
19,scenario3_alt,dblr,343428
19,scenario3_alt,shore,291464
19,scenario3_alt,cicon,453620
19,scenario3_alt,crane,29302
19,scenario3_alt,geese,174877
19,scenario3_alt,divduck,148453
19,scenario3_alt,TOTAL,564321
20,baseline,dblr,244125
20,baseline,shore,96918
20,baseline,cicon,468636
20,baseline,crane,210448
20,baseline,geese,252004
20,baseline,divduck,18112
20,baseline,TOTAL,645160
20,scenario1,dblr,279844
20,scenario1,shore,148978
20,scenario1,cicon,498536
20,scenario1,crane,202746
20,scenario1,geese,268633
20,scenario1,divduck,24624
20,scenario1,TOTAL,672812
20,scenario2_alt,dblr,246232
20,scenario2_alt,shore,100346
20,scenario2_alt,cicon,512317
20,scenario2_alt,crane,197297
20,scenario2_alt,geese,289136
20,scenario2_alt,divduck,17936
20,scenario2_alt,TOTAL,625420
20,scenario3_alt,dblr,281717
20,scenario3_alt,shore,153904
20,scenario3_alt,cicon,537130
20,scenario3_alt,crane,190798
20,scenario3_alt,geese,308182
20,scenario3_alt,divduck,17563
20,scenario3_alt,TOTAL,651139
21,baseline,dblr,278679
21,baseline,shore,70967
21,baseline,cicon,595039
21,baseline,crane,156848
21,baseline,geese,125460
21,baseline,divduck,110305
21,baseline,TOTAL,618631
21,scenario1,dblr,319255
21,scenario1,shore,89074
21,scenario1,cicon,608080
21,scenario1,crane,155283
21,scenario1,geese,119388
21,scenario1,divduck,138187
21,scenario1,TOTAL,632395
21,scenario2_alt,dblr,268881
21,scenario2_alt,shore,64478
21,scenario2_alt,cicon,597521
21,scenario2_alt,crane,160730
21,scenario2_alt,geese,139068
21,scenario2_alt,divduck,102895
21,scenario2_alt,TOTAL,620970
21,scenario3_alt,dblr,309709
21,scenario3_alt,shore,84830
21,scenario3_alt,cicon,605348
21,scenario3_alt,crane,157556
21,scenario3_alt,geese,132311
21,scenario3_alt,divduck,130660
21,scenario3_alt,TOTAL,629277
22,baseline,dblr,213213
22,baseline,shore,176243
22,baseline,cicon,353172
22,baseline,crane,94157
22,baseline,geese,332713
22,baseline,divduck,98463
22,baseline,TOTAL,612609
22,scenario1,dblr,252221
22,scenario1,shore,212280
22,scenario1,cicon,392521
22,scenario1,crane,87952
22,scenario1,geese,342610
22,scenario1,divduck,119351
