landscape,predictor,mean,min,max
baseline,alf_area_10k,1878.4576439104435,0.36000001430511475,5767.47021484375
baseline,alf_area_2k,80.91128372934793,0,615.33001708984375
baseline,alf_area_5k,495.0253490401463,0,2286.360107421875
baseline,alf_pfld_10k,0.018966330859842447,0,0.05328507721424103
baseline,alf_pfld_2k,0.013886701723047798,0,0.531374990940094
baseline,alf_pfld_5k,0.018428536815536762,0,0.17619794607162476
baseline,barren_area_10k,34.19351139643568,0,555.21002197265625
baseline,barren_area_2k,0.9167311974806566,0,145.0800018310547
baseline,barren_area_5k,8.06455834058649,0,319.6800231933594
baseline,barren_pfld_10k,0.07321534372735101,0,0.9528392553329468
baseline,barren_pfld_2k,0.01422071843793177,0,0.9528392553329468
baseline,barren_pfld_5k,0.03946645528313782,0,0.9528392553329468
baseline,corn_area_10k,3424.3145203885933,0.27000001072883606,11922.1201171875
baseline,corn_area_2k,146.4971656462621,0,1105.1099853515625
baseline,corn_area_5k,895.2841889709161,0,4634.10009765625
baseline,corn_pfld_10k,0.026729266087104096,0.002083945320919156,0.15054403245449066
baseline,corn_pfld_2k,0.019890953556763756,0,0.9731638431549072
baseline,corn_pfld_5k,0.025128633497629872,0,0.5685674548149109
baseline,covertype,1.9138043155936066,1,4
baseline,dev_area_10k,3976.530850572328,192.9600067138672,21987.451171875
baseline,dev_area_2k,156.24617295847835,0,1260.360107421875
baseline,dev_area_5k,962.334047521157,5.760000228881836,7223.31005859375
baseline,dev_pfld_10k,0.030908467077562514,0.007877950556576252,0.11592540144920349
baseline,dev_pfld_2k,0.0315049731403813,0,1
baseline,dev_pfld_5k,0.031885077856567724,0.005330318585038185,0.36472266912460327
baseline,droost_km,7.541726043118611,0,26.630149841308594
baseline,dryp_area_10k,3144.7601651047844,552.1500244140625,20919.6015625
baseline,dryp_area_2k,90.51211120291165,0,1250.4600830078125
baseline,dryp_area_5k,636.9816207071473,26.64000129699707,6630.93017578125
baseline,dryp_pfld_10k,0.035143133090081005,0.005407727789133787,0.10240510106086731
baseline,dryp_pfld_2k,0.045301260058851,0,0.7784443497657776
baseline,dryp_pfld_5k,0.04160216476596218,0.003270649816840887,0.14797133207321167
baseline,duwet_area_10k,577.8213504474747,0,5606.55029296875
baseline,duwet_area_2k,25.63480719608964,0,933.75006103515625
baseline,duwet_area_5k,159.33984399996268,0,2111.219970703125
baseline,duwet_pfld_10k,0.11796269231469128,0,0.6776896715164185
baseline,duwet_pfld_2k,0.03397765131818131,0,0.6776896715164185
baseline,duwet_pfld_5k,0.08369426981779722,0,0.6776896715164185
