scenario,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCENARIO,SCENARIO_SE,BASELINE,BASELINE_SE,net_change,net_change_se,change_prop,change_prop_se,change_pct,change_pct_se
scenario1_restoration,Agricultural Livelihoods,livelihoods,Agricultural Jobs,number of employees per ha,2458.302966676867,142.09091772567044,2513.7578620599315,144.2187288955117,-55.45489538306447,202.4570835124332,-0.022060555720200208,0.08054955629781617,-2.206055572020021,8.054955629781617
scenario1_restoration,Agricultural Livelihoods,production value,Gross Production Value,USD per ha per year (millions),797689.1866727817,20401.462508506775,814558.3476816936,20702.285798169465,-16869.161008911906,29065.51753805696,-0.020709579684405736,0.03568642997292167,-2.0709579684405734,3.568642997292167
scenario1_restoration,Water Quality,pesticide application rate,Critical Pesticides,kg per ha,122354.35630913381,9666.007524457018,125430.863485304,9894.388055583227,-3076.507176170184,13832.231073016665,-0.02452751333032671,0.11029470308345106,2.452751333032671,11.029470308345106
scenario1_restoration,Water Quality,pesticide application rate,Groundwater Contaminant,kg per ha,15981.145438332755,2092.4123698496933,16239.360345045463,2134.8198858076667,-258.2149067127084,2989.255002561653,-0.015900558964533865,0.1840865443614146,1.5900558964533864,18.40865443614146
scenario1_restoration,Water Quality,pesticide application rate,Risk to Aquatic Organisms,kg per ha,382439.8916201204,16383.405798711623,392864.74040887435,16782.85648398727,-10424.848788753967,23453.78982866887,-0.026535465559735127,0.059710162569275686,2.653546555973513,5.971016256927569
scenario1_restoration,Climate Change Resilience,climate change resilience,Drought,ranking,1479319.2037508024,69305.14344221234,1501446.1687507308,70863.98466605773,-22126.964999928372,99120.67004564131,-0.014737101775909141,0.06602046310788717,-1.473710177590914,6.602046310788717
scenario1_restoration,Climate Change Resilience,climate change resilience,Flood,ranking,1558555.070115119,72117.24701061654,1540246.6373877635,73762.51566575798,18308.43272735551,103159.12966738074,0.011886688977556447,0.06697814051664297,1.1886688977556448,6.697814051664297
scenario1_restoration,Climate Change Resilience,climate change resilience,Heat,ranking,1838232.0916082468,79688.64764350372,1838578.5900009822,80618.64100986463,-346.4983927353751,113356.27835072886,-1.8845993019813746e-4,0.06165430185329694,-0.018845993019813746,6.1654301853296944
scenario1_restoration,Climate Change Resilience,climate change resilience,Overall,ranking,1642810.7913686002,42628.0825372018,1641544.4021599048,43412.71999767642,1266.3892086953856,60842.56469278019,7.714620494146251e-4,0.03706422673093036,0.0771462049414625,3.706422673093036
scenario1_restoration,Climate Change Resilience,climate change resilience,Salinity,ranking,1695136.8000002322,0,1685906.212500143,0,9230.587500089081,0,0.0054751488734361,0,0.54751488734361,0
scenario1_restoration,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Grassland,ranking,565294.5000007681,NA,595973.6100008204,NA,-30679.110000052257,NA,-0.05147729611720564,NA,-5.147729611720564,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Oak Savannah,ranking,440423.28000045376,NA,418458.69000043476,NA,21964.590000019,NA,0.05248926722013153,NA,5.248926722013153,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Riparian,ranking,262271.88000017975,NA,208087.3800001224,NA,54184.500000057364,NA,0.2603930137427147,NA,26.039301374271467,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Other Waterbirds,ranking,251809.20000018133,NA,202861.80000013768,NA,48947.40000004365,NA,0.24128446065257447,NA,24.128446065257446,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Shorebirds,ranking,202435.56000016996,NA,169444.44000014526,NA,32991.120000024704,NA,0.19470169691018732,NA,19.470169691018732,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Waterfowl,ranking,856559.3400010337,NA,859796.4600010676,NA,-3237.120000033872,NA,-0.003764984098713145,NA,-0.3764984098713145,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Other Waterbirds,ranking,589041.8100001006,NA,562853.5199998701,NA,26188.29000023054,NA,0.04652771826004852,NA,4.652771826004852,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Shorebirds,ranking,651717.7200002025,NA,631185.6599999794,NA,20532.060000223108,NA,0.03252935118998707,NA,3.2529351189987072,NA
scenario1_restoration,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Waterfowl,ranking,713966.4900002012,NA,674310.9599999557,NA,39655.53000024543,NA,0.05880896552570944,NA,5.880896552570944,NA
scenario2_perennialexpand,Agricultural Livelihoods,livelihoods,Agricultural Jobs,number of employees per ha,2989.4394028270826,214.91119036699388,2513.7578620599315,144.2187288955117,475.6815407671511,258.81626979228986,0.18923124933654017,0.10353070188011829,18.923124933654016,10.353070188011829
scenario2_perennialexpand,Agricultural Livelihoods,production value,Gross Production Value,USD per ha per year (millions),956471.5464054388,30431.946104233648,814558.3476816936,20702.285798169465,141913.19872374518,36806.08619454221,0.1742210353962278,0.045401762886715755,17.42210353962278,4.540176288671575
scenario2_perennialexpand,Water Quality,pesticide application rate,Critical Pesticides,kg per ha,128998.91559903901,9100.625756624524,125430.863485304,9894.388055583227,3568.052113735015,13443.225214084816,0.028446364910443774,0.10719986261819012,-2.8446364910443775,10.719986261819011
scenario2_perennialexpand,Water Quality,pesticide application rate,Groundwater Contaminant,kg per ha,18735.59895719281,2066.7115256664374,16239.360345045463,2134.8198858076667,2496.2386121473482,2971.321671438882,0.15371532862801068,0.18408283815911164,-15.371532862801068,18.408283815911165
scenario2_perennialexpand,Water Quality,pesticide application rate,Risk to Aquatic Organisms,kg per ha,441990.2298667642,17850.193388624135,392864.74040887435,16782.85648398727,49125.48945788987,24500.891326100656,0.12504428217905855,0.06259305389834638,-12.504428217905856,6.259305389834638
scenario2_perennialexpand,Climate Change Resilience,climate change resilience,Drought,ranking,1434119.376251099,73274.26120152937,1501446.1687507308,70863.98466605773,-67326.79249963188,101935.37990992733,-0.044841296278807466,0.06792444391447705,-4.484129627880747,6.792444391447705
scenario2_perennialexpand,Climate Change Resilience,climate change resilience,Flood,ranking,1523136.9044335773,74613.809547739,1540246.6373877635,73762.51566575798,-17109.732954186155,104919.63254113817,-0.011108437141732068,0.06812079929800517,-1.1108437141732068,6.812079929800517
scenario2_perennialexpand,Climate Change Resilience,climate change resilience,Heat,ranking,1762174.4303586232,85349.25674715094,1838578.5900009822,80618.64100986463,-76404.15964235901,117404.68860130126,-0.04155610212034406,0.06388221814820004,-4.155610212034406,6.388221814820004
scenario2_perennialexpand,Climate Change Resilience,climate change resilience,Overall,ranking,1573506.484010924,44994.85594937778,1641544.4021599048,43412.71999767642,-68037.91814898094,62523.606098032375,-0.04144750398433224,0.03810405136112306,-4.1447503984332235,3.810405136112306
scenario2_perennialexpand,Climate Change Resilience,climate change resilience,Salinity,ranking,1574595.2250003961,0,1685906.212500143,0,-111310.98749974696,0,-0.06602442453466996,0,-6.602442453466996,0
scenario2_perennialexpand,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Grassland,ranking,568127.4300007754,NA,595973.6100008204,NA,-27846.180000044988,NA,-0.04672384738647514,NA,-4.672384738647514,NA
scenario2_perennialexpand,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Oak Savannah,ranking,414021.0600004427,NA,418458.69000043476,NA,-4437.62999999203,NA,-0.010604702700731152,NA,-1.0604702700731152,NA
scenario2_perennialexpand,Biodiversity Support,avian conservation contribution,Breeding Landbirds: Riparian,ranking,214893.90000014857,NA,208087.3800001224,NA,6806.520000026183,NA,0.0327099125378107,NA,3.27099125378107,NA
scenario2_perennialexpand,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Other Waterbirds,ranking,195334.47000013324,NA,202861.80000013768,NA,-7527.33000000444,NA,-0.03710570447466863,NA,-3.710570447466863,NA
scenario2_perennialexpand,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Shorebirds,ranking,164728.35000013924,NA,169444.44000014526,NA,-4716.090000006021,NA,-0.027832663025130704,NA,-2.7832663025130704,NA
scenario2_perennialexpand,Biodiversity Support,avian conservation contribution,Breeding Waterbirds: Waterfowl,ranking,813402.3600009942,NA,859796.4600010676,NA,-46394.100000073435,NA,-0.05395939871631459,NA,-5.395939871631459,NA
scenario2_perennialexpand,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Other Waterbirds,ranking,528018.9300006689,NA,562853.5199998701,NA,-34834.58999920124,NA,-0.06188926383405985,NA,-6.188926383405985,NA
scenario2_perennialexpand,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Shorebirds,ranking,590911.9200007679,NA,631185.6599999794,NA,-40273.73999921151,NA,-0.06380648761762557,NA,-6.380648761762557,NA
scenario2_perennialexpand,Biodiversity Support,avian conservation contribution,Wintering Waterbirds: Waterfowl,ranking,628751.9700007433,NA,674310.9599999557,NA,-45558.98999921244,NA,-0.06756376909432917,NA,-6.756376909432917,NA
scenario1_restoration,Agricultural Livelihoods,livelihoods,Annual Wages,annual dollars per employee,38697.50096778964,613.3768124229416,38726.84112935419,613.8994828298515,-29.340161564548907,867.8154694616176,-7.576182489696956e-4,0.02240863361918367,-0.07576182489696956,2.240863361918367
scenario2_perennialexpand,Agricultural Livelihoods,livelihoods,Annual Wages,annual dollars per employee,38487.27663199474,573.3275564218537,38726.84112935419,613.8994828298515,-239.56449735944625,839.9863463005889,-0.006186006665487133,0.021690251676168094,-0.6186006665487134,2.1690251676168093
