scenario,county,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCORE_TOTAL
baseline,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,384205.1764199924
baseline,Sacramento,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,365230.5421613778
baseline,San Joaquin,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,904678.7623225402
baseline,Solano,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,371102.7918787673
baseline,Yolo,Biodiversity Support,species distribution: riparian,Yellow Warbler,ha,318537.67369283986
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,983100.403066621
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,1403156.0849894874
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,4281938.816044397
scenario1_restoration,Solano,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,881708.180909666
scenario1_restoration,Yolo,Biodiversity Support,species distribution: riparian,Ash-throated Flycatcher,ha,1341690.850515581
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,1251992.3859472077
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,1738461.218537142
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,4066619.170144118
scenario1_restoration,Solano,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,1078560.271513048
scenario1_restoration,Yolo,Biodiversity Support,species distribution: riparian,Black-headed Grosbeak,ha,1015382.9604218404
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,1398769.3988018152
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,1502389.4765970402
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,2551271.4710779074
scenario1_restoration,Solano,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,1444406.5374264286
scenario1_restoration,Yolo,Biodiversity Support,species distribution: riparian,Common Yellowthroat,ha,1116553.9473236022
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,613322.0235219847
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,504253.1122566098
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,1600341.7430282468
scenario1_restoration,Solano,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,447563.9058435543
scenario1_restoration,Yolo,Biodiversity Support,species distribution: riparian,Lazuli Bunting,ha,433499.0854796022
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,453248.52512320504
scenario1_restoration,Sacramento,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,691088.8280015646
scenario1_restoration,San Joaquin,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,2068294.3670519318
scenario1_restoration,Solano,Biodiversity Support,species distribution: riparian,Nuttall's Woodpecker,ha,350321.1982066019
