scenario,ZONE,CODE_NAME,LABEL,SCENARIO,BASELINE,net_change,change_prop,change_pct
scenario1_restoration,Sacramento,RIPARIAN_FOREST_QULO,Riparian - Valley Oak,1245.87,853.29,392.5799999999999,0.4600780508385191,46.00780508385191
scenario1_restoration,Sacramento,RIPARIAN_FOREST_SALIX,Riparian - Willow,261.81,227.88,33.93000000000001,0.14889415481832546,14.889415481832547
scenario1_restoration,Sacramento,RIPARIAN_SCRUB_INTRO,Riparian - Introduced Scrub,219.23999999999998,219.23999999999998,0,0,0
scenario1_restoration,Sacramento,RIPARIAN_SCRUB_MIXED,Riparian - Mixed Shrub,32.4,31.32,1.0799999999999983,0.0344827586206896,3.44827586206896
scenario1_restoration,Sacramento,RIPARIAN_SCRUB_SALIX,Riparian - Willow Shrub,594.63,451.71,142.92000000000002,0.3163976887826261,31.639768878262608
scenario1_restoration,Sacramento,ROW,Row Crops,759.51,780.03,-20.519999999999982,-0.026306680512287968,-2.6306680512287968
scenario1_restoration,Sacramento,SCRUB,Scrub,2.9699999999999998,4.05,-1.08,-0.2666666666666667,-26.66666666666667
scenario1_restoration,Sacramento,URBAN,Urban,3325.95,3327.75,-1.800000000000182,-5.409060175795002e-4,-0.054090601757950024
scenario1_restoration,Sacramento,VINEYARD,Vineyard,4875.75,4879.889999999999,-4.139999999999418,-8.483797790522775e-4,-0.08483797790522775
scenario1_restoration,Sacramento,WATER,Water,5684.8499999999995,5684.8499999999995,0,0,0
scenario1_restoration,Sacramento,WETLAND_MANAGED,Managed Wetland,2804.04,1516.1399999999999,1287.9,0.8494598124183784,84.94598124183784
scenario1_restoration,Sacramento,WETLAND_MANAGED_PERENNIAL,Managed Wetland - Perennial,1970.28,798.66,1171.62,1.4669821951769213,146.69821951769214
scenario1_restoration,Sacramento,WETLAND_MANAGED_SEASONAL,Managed Wetland - Seasonal,833.76,717.48,116.27999999999997,0.16206723532363268,16.206723532363267
scenario1_restoration,Sacramento,WETLAND_OTHER,Other Wetland,1210.4099999999999,1423.08,-212.67000000000007,-0.14944346066278782,-14.944346066278783
