class,zone,area_unit,value_baseline,value_scenario,net_change,LABEL
PASTURE,area,ha,24038.10000003474,22469.400000032205,-1568.7000000025364,Pasture
GRASSLAND,area,ha,20491.740000029007,19282.32000002705,-1209.4200000019555,Grassland
IDLE,area,ha,26609.3100000389,25538.220000037167,-1071.0900000017318,Idle
WETLAND_OTHER,area,ha,10498.140000012849,9942.30000001195,-555.8400000008987,Other Wetland
FIELD_CORN,area,ha,34879.40999996692,34343.009999987735,-536.3999999791849,Corn
RICE,area,ha,2679.930000000209,2211.209999999451,-468.72000000075786,Rice
FIELD,area,ha,8005.68000000882,7551.450000008085,-454.23000000073444,Field Crops
PASTURE_ALFALFA,area,ha,19171.620000026873,18754.8300000262,-416.7900000006739,Alfalfa
GRAIN&HAY_WHEAT,area,ha,11669.580000014743,11281.140000014115,-388.44000000062806,Grain
ROW,area,ha,17099.280000023522,16736.940000022936,-362.34000000058586,Row Crops
GRAIN&HAY,area,ha,7840.4400000085525,7606.620000008174,-233.82000000037806,Grain
VINEYARD,area,ha,16304.940000022238,16097.670000021903,-207.27000000033513,Vineyard
ORCHARD_DECIDUOUS,area,ha,15788.070000021402,15589.08000002108,-198.99000000032174,Orchard - Deciduous Fruits & Nuts
WOODLAND&SCRUB,area,ha,1003.050000000111,958.5900000000953,-44.460000000015725,Woodland & Scrub
BARREN,area,ha,190.53000000000594,177.21000000000544,-13.320000000000505,Barren
URBAN,area,ha,36784.52999989299,36781.28999989312,-3.2399999998742715,Urban
ORCHARD_CITRUS&SUBTROPICAL,area,ha,643.769999999984,643.769999999984,0,Orchard - Citrus & Subtropical
RIPARIAN_SCRUB_INTRO,area,ha,916.7400000000805,916.7400000000805,0,Riparian Scrub
WETLAND_TIDAL,area,ha,3558.87000000163,3558.87000000163,0,Tidal Wetland
WATER,area,ha,26771.40000003916,26771.40000003916,0,Water
RIPARIAN_SCRUB_MIXED,area,ha,114.75000000000308,115.83000000000312,1.080000000000041,Riparian Scrub
RIPARIAN_FOREST_SALIX,area,ha,972.0000000001,1165.6799999999896,193.67999999988956,Riparian Forest
RIPARIAN_FOREST_MIXED,area,ha,594.9899999999667,804.7800000000409,209.7900000000742,Riparian Forest
RIPARIAN_FOREST_POFR,area,ha,1714.1399999994908,2320.3799999996277,606.2400000001369,Riparian Forest
RIPARIAN_SCRUB_SALIX,area,ha,2062.3499999992105,2775.690000000364,713.3400000011534,Riparian Scrub
WETLAND_MANAGED_PERENNIAL,area,ha,939.6000000000886,2111.2199999992895,1171.619999999201,Managed Wetland - Perennial
RIPARIAN_FOREST_QULO,area,ha,1979.3699999992496,4244.310000002738,2264.9400000034884,Riparian Forest
WETLAND_MANAGED_SEASONAL,area,ha,5069.520000004072,7641.9000000082315,2572.3800000041592,Managed Wetland - Seasonal
