scenario,ZONE,METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,UNIT,SCORE_TOTAL
scenario1_restoration,Sacramento,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,368588.8888888889
scenario1_restoration,San Joaquin,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,447455.55555555556
scenario1_restoration,Solano,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,33133.333333333336
scenario1_restoration,Yolo,Biodiversity Support,Riparian landbird habitat,Black-headed Grosbeak,ha,60822.222222222226
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1436355.5555555555
scenario1_restoration,Sacramento,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1698644.4444444445
scenario1_restoration,San Joaquin,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1541477.7777777778
scenario1_restoration,Solano,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1846800
scenario1_restoration,Yolo,Biodiversity Support,Riparian landbird habitat,Common Yellowthroat,ha,1287488.888888889
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,ha,1198200
scenario1_restoration,Sacramento,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,ha,250244.44444444447
scenario1_restoration,San Joaquin,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,ha,2307444.4444444445
scenario1_restoration,Solano,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,ha,633544.4444444445
scenario1_restoration,Yolo,Biodiversity Support,Riparian landbird habitat,Lazuli Bunting,ha,528488.8888888889
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,ha,1011.1111111111112
scenario1_restoration,Sacramento,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,ha,90533.33333333334
scenario1_restoration,San Joaquin,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,ha,424966.6666666667
scenario1_restoration,Solano,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,ha,844.4444444444445
scenario1_restoration,Yolo,Biodiversity Support,Riparian landbird habitat,Nuttall's Woodpecker,ha,143388.8888888889
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Song Sparrow,ha,4114766.666666667
scenario1_restoration,Sacramento,Biodiversity Support,Riparian landbird habitat,Song Sparrow,ha,3924644.4444444445
scenario1_restoration,San Joaquin,Biodiversity Support,Riparian landbird habitat,Song Sparrow,ha,11673211.111111112
scenario1_restoration,Solano,Biodiversity Support,Riparian landbird habitat,Song Sparrow,ha,2034044.4444444445
scenario1_restoration,Yolo,Biodiversity Support,Riparian landbird habitat,Song Sparrow,ha,605244.4444444445
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,ha,97077.77777777778
scenario1_restoration,Sacramento,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,ha,937144.4444444445
scenario1_restoration,San Joaquin,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,ha,974855.5555555556
scenario1_restoration,Solano,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,ha,56722.222222222226
scenario1_restoration,Yolo,Biodiversity Support,Riparian landbird habitat,Spotted Towhee,ha,675544.4444444445
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,ha,22777.777777777777
scenario1_restoration,Sacramento,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,ha,13133.333333333334
scenario1_restoration,San Joaquin,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,ha,54777.77777777778
scenario1_restoration,Solano,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,ha,13700
scenario1_restoration,Yolo,Biodiversity Support,Riparian landbird habitat,Yellow-breasted Chat,ha,722.2222222222223
scenario1_restoration,Contra Costa & Alameda,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,ha,163900
scenario1_restoration,Sacramento,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,ha,235900
scenario1_restoration,San Joaquin,Biodiversity Support,Riparian landbird habitat,Yellow Warbler,ha,339600
