chemname,repro,carcinogen,organop,groundwater,air,aquatic,critical
BIFENTHRIN,NA,NA,NA,NA,NA,TRUE,TRUE
BROMACIL,NA,NA,NA,TRUE,NA,TRUE,TRUE
"BROMACIL, LITHIUM SALT",TRUE,NA,NA,TRUE,NA,NA,TRUE
BROMOXYNIL OCTANOATE,TRUE,NA,NA,NA,NA,NA,NA
BUTYLATE,NA,NA,TRUE,NA,NA,NA,TRUE
CACODYLIC ACID,NA,TRUE,NA,NA,NA,NA,NA
CAPTAN,NA,TRUE,NA,NA,TRUE,TRUE,NA
"CAPTAN, OTHER RELATED",NA,NA,NA,NA,TRUE,NA,NA
CARBARYL,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE
CARBOFURAN,NA,NA,TRUE,NA,NA,NA,TRUE
CARBON DISULFIDE,TRUE,NA,NA,NA,NA,NA,NA
CARBON TETRACHLORIDE,NA,TRUE,NA,NA,NA,NA,NA
CARBOPHENOTHION,NA,NA,TRUE,NA,NA,NA,TRUE
CHLORDANE,NA,TRUE,NA,NA,NA,NA,TRUE
CHLORDECONE,TRUE,TRUE,NA,NA,NA,NA,NA
CHLORINE,NA,NA,NA,NA,TRUE,NA,NA
CHLOROPICRIN,NA,NA,NA,NA,TRUE,NA,NA
CHLOROTHALONIL,NA,TRUE,NA,NA,NA,TRUE,NA
CHLORPYRIFOS,TRUE,NA,TRUE,NA,TRUE,TRUE,TRUE
CHROMIC ACID,TRUE,TRUE,NA,NA,TRUE,NA,NA
COUMAPHOS,NA,NA,TRUE,NA,NA,NA,TRUE
CREOSOTE,NA,TRUE,NA,NA,NA,NA,NA
CROTOXYPHOS,NA,NA,TRUE,NA,NA,NA,TRUE
CYANAZINE,TRUE,NA,NA,NA,NA,NA,NA
CYCLOATE,TRUE,NA,TRUE,NA,NA,NA,TRUE
CYCLOHEXIMIDE,TRUE,NA,NA,NA,NA,NA,NA
CYFLUTHRIN,NA,NA,NA,NA,NA,TRUE,TRUE
CYHALOTHRIN,NA,NA,NA,NA,NA,NA,TRUE
CYPERMETHRIN,NA,NA,NA,NA,NA,TRUE,TRUE
CYPHENOTHRIN,NA,NA,NA,NA,NA,NA,TRUE
D-ALLETHRIN,NA,NA,NA,NA,NA,NA,TRUE
D-PHENOTHRIN,NA,NA,NA,NA,NA,NA,TRUE
DAMINOZIDE,NA,TRUE,NA,NA,NA,NA,NA
DAZOMET,NA,NA,NA,NA,TRUE,NA,NA
DDE (DICHLORODIPHENYLDICHLOROETHYLENE),NA,NA,NA,NA,NA,NA,TRUE
DDT (DICHLORODIPHENYLTRICHLOROETHANE),NA,NA,NA,NA,NA,NA,TRUE
DDVP,NA,TRUE,TRUE,NA,TRUE,NA,TRUE
"DDVP, OTHER RELATED",NA,TRUE,TRUE,NA,NA,NA,TRUE
DELTAMETHRIN,NA,NA,NA,NA,NA,TRUE,TRUE
DEMETON,NA,NA,TRUE,NA,NA,NA,TRUE
DIAZINON,NA,NA,TRUE,NA,NA,TRUE,TRUE
DICHLOROPHEN,TRUE,NA,NA,NA,NA,NA,NA
DICLOFOP-METHYL,TRUE,TRUE,NA,NA,NA,NA,NA
DICROTOPHOS,NA,NA,TRUE,NA,NA,NA,TRUE
DIELDRIN,NA,NA,NA,NA,NA,NA,TRUE
DIETHANOLAMINE,NA,TRUE,NA,NA,NA,NA,NA
DIMETHOATE,NA,NA,TRUE,NA,NA,TRUE,TRUE
DINOCAP,TRUE,NA,NA,NA,NA,NA,NA
DINOSEB,TRUE,NA,NA,NA,NA,NA,NA
DIOCTYL PHTHALATE,TRUE,TRUE,NA,NA,NA,NA,NA
DIOXATHION,NA,NA,TRUE,NA,NA,NA,TRUE
"DIOXATHION, OTHER RELATED",NA,NA,TRUE,NA,NA,NA,TRUE
DIPROPYL ISOCINCHOMERONATE,NA,TRUE,NA,NA,NA,NA,NA
DISODIUM CYANODITHIOIMIDO CARBONATE,TRUE,NA,NA,NA,NA,NA,NA
DISULFOTON,NA,NA,TRUE,NA,NA,NA,TRUE
DIURON,NA,TRUE,NA,TRUE,NA,TRUE,TRUE
ENDOSULFAN,NA,NA,NA,NA,TRUE,NA,NA
ENDRIN,TRUE,NA,NA,NA,NA,NA,NA
EPN,NA,NA,TRUE,NA,NA,NA,TRUE
EPTC,TRUE,NA,TRUE,NA,NA,NA,TRUE
ESFENVALERATE,NA,NA,NA,NA,NA,TRUE,TRUE
ETHEPHON,NA,NA,TRUE,NA,NA,NA,TRUE
ETHION,NA,NA,TRUE,NA,NA,NA,TRUE
ETHOPROP,NA,TRUE,TRUE,NA,NA,NA,TRUE
ETHYL ACRYLATE,NA,TRUE,NA,NA,NA,NA,NA
ETHYLENE DIBROMIDE,TRUE,TRUE,NA,NA,NA,NA,NA
ETHYLENE GLYCOL,TRUE,NA,NA,NA,NA,NA,NA
ETHYLENE GLYCOL MONOMETHYL ETHER,TRUE,NA,NA,NA,NA,NA,NA
ETHYLENE OXIDE,TRUE,TRUE,NA,NA,TRUE,NA,NA
ETOFENPROX,NA,NA,NA,NA,NA,NA,TRUE
FENAMIPHOS,NA,NA,TRUE,NA,NA,NA,TRUE
FENOXAPROP-ETHYL,TRUE,NA,NA,NA,NA,NA,NA
