METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,CODE_NAME,SCORE_MEAN,SCORE_SE,SCORE_MIN,SCORE_MAX,UNIT
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,GRASSLAND,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,GRASSLAND,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,GRASSLAND,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,PASTURE_OTHER,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,PASTURE_OTHER,5,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,PASTURE_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,PASTURE_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,PASTURE_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,PASTURE_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,PASTURE_OTHER,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,PASTURE_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,PASTURE_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,PASTURE_ALFALFA,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,PASTURE_ALFALFA,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,PASTURE_ALFALFA,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,PASTURE_ALFALFA,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,PASTURE_ALFALFA,5,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,PASTURE_ALFALFA,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,PASTURE_ALFALFA,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,PASTURE_ALFALFA,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,PASTURE_ALFALFA,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,RICE,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,RICE,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,RICE,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,RICE,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,RICE,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,RICE,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,RICE,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,RICE,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,RICE,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,FIELD_CORN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,FIELD_CORN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,FIELD_CORN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,FIELD_CORN,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,FIELD_CORN,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,FIELD_CORN,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,FIELD_CORN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,FIELD_CORN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,FIELD_CORN,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,ROW,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,ROW,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,ROW,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,ROW,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,ROW,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,ROW,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,ROW,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,ROW,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,ROW,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,FIELD_OTHER,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,FIELD_OTHER,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,FIELD_OTHER,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,FIELD_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,FIELD_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,FIELD_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,FIELD_OTHER,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Shorebirds,FIELD_OTHER,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Other Waterbirds,FIELD_OTHER,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,GRAIN&HAY_WHEAT,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Grassland,GRAIN&HAY_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,GRAIN&HAY_WHEAT,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Oak Savannah,GRAIN&HAY_OTHER,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,GRAIN&HAY_WHEAT,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Landbirds_Riparian,GRAIN&HAY_OTHER,0,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,GRAIN&HAY_WHEAT,5,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Waterfowl,GRAIN&HAY_OTHER,5,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,GRAIN&HAY_WHEAT,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Shorebirds,GRAIN&HAY_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,GRAIN&HAY_WHEAT,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Wintering Waterbirds_Other Waterbirds,GRAIN&HAY_OTHER,1,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,GRAIN&HAY_WHEAT,10,NA,NA,NA,ranking
biodiversity,avian conservation contribution,Breeding Waterbirds_Waterfowl,GRAIN&HAY_OTHER,10,NA,NA,NA,ranking
