METRIC_CATEGORY,METRIC_SUBTYPE,METRIC,CODE_NAME,SUBCLASS,SCORE,SCORE_MIN,SCORE_MAX,UNIT
healthy environment,pesticide application rate,carcinogen,IDLE,IDLE,1.4172159037090766,1.2020869889806733,1.848077479777876,pounds per ha
healthy environment,pesticide application rate,critical pesticides,IDLE,IDLE,0.049237616312714914,5.389525602121615e-4,0.08093355349638368,pounds per ha
healthy environment,pesticide application rate,groundwater contaminant,IDLE,IDLE,0.005969084780844306,3.738282353050674e-4,0.0187250237604535,pounds per ha
healthy environment,pesticide application rate,reproductive toxicity,IDLE,IDLE,0.013272643661916998,6.576645542471587e-4,0.029656686513060592,pounds per ha
healthy environment,pesticide application rate,total pesticides,IDLE,IDLE,1.6145814475780582,1.3546828365898023,2.046655019481547,pounds per ha
healthy environment,pesticide application rate,air pollution,ORCHARD_CITRUS&SUBTROPICAL,OLIVES,2.1622237031690448,0.926276205956183,3.0156711654024946,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ORCHARD_CITRUS&SUBTROPICAL,MISCELLANEOUS SUBTROPICAL FRUIT,9.1016951086246909,9.1016951086246909,9.1016951086246909,pounds per ha
biodiversity,pesticide application rate,aquatic contaminant,ORCHARD_CITRUS&SUBTROPICAL,OLIVES,5.350550134442756,2.9160109889217782,6.93959790488511,pounds per ha
healthy environment,pesticide application rate,carcinogen,ORCHARD_CITRUS&SUBTROPICAL,MISCELLANEOUS SUBTROPICAL FRUIT,2.4513928544421497,2.4513928544421497,2.4513928544421497,pounds per ha
healthy environment,pesticide application rate,carcinogen,ORCHARD_CITRUS&SUBTROPICAL,OLIVES,6.005580428072015,4.565026106784837,6.769593079186798,pounds per ha
healthy environment,pesticide application rate,critical pesticides,ORCHARD_CITRUS&SUBTROPICAL,MISCELLANEOUS SUBTROPICAL FRUIT,1.7163282287869854e-4,1.7163282287869854e-4,1.7163282287869854e-4,pounds per ha
healthy environment,pesticide application rate,critical pesticides,ORCHARD_CITRUS&SUBTROPICAL,OLIVES,2.9045889221789825,2.007233029069633,3.9855615437772376,pounds per ha
healthy environment,pesticide application rate,groundwater contaminant,ORCHARD_CITRUS&SUBTROPICAL,OLIVES,0.6881595463382617,0.31221601322899545,1.08095682311345,pounds per ha
