Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2018 ,268079 ,PISTACHIOS , 999, State Totals,384848 ,1.82 ,701630 ,4318.34 ,    ,3029875000
2018 ,215399 ,PLUMCOTS ,19 ,Fresno ,1410 ,4.15 ,5850 ,1215.04 ,Tons ,7108000
2018 ,215399 ,PLUMCOTS ,991 ,Sum of Others ,111 ,6.63 ,736 ,1460.60 ,Tons ,1075000
2018 ,215399 ,PLUMCOTS , 999, State Totals,1521 ,4.33 ,6586 ,1242.48 ,    ,8183000
2018 ,215199 ,PLUMS ,13 ,Contra Costa ,35 ,5.66 ,198 ,2646.46 ,Tons ,524000
2018 ,215199 ,PLUMS ,17 ,El Dorado ,52 ,1.15 ,60 ,3833.33 ,Tons ,230000
2018 ,215199 ,PLUMS ,19 ,Fresno ,10900 ,7.58 ,82600 ,1244.00 ,Tons ,102754000
2018 ,215199 ,PLUMS ,31 ,Kings ,2330 ,7.12 ,16600 ,1684.16 ,Tons ,27957000
2018 ,215199 ,PLUMS ,107 ,Tulare ,8150 ,9.40 ,76600 ,1690.00 ,Tons ,129454000
2018 ,215199 ,PLUMS ,991 ,Sum of Others ,95 ,10.78 ,1024 ,1436.43 ,Tons ,1470900
2018 ,215199 ,PLUMS , 999, State Totals,21562 ,8.21 ,177082 ,1481.74 ,    ,262389900
2018 ,215999 ,PLUMS DRIED ,7 ,Butte ,7800 ,2.04 ,15900 ,1980.50 ,Tons ,31490000
2018 ,215999 ,PLUMS DRIED ,11 ,Colusa ,808 ,2.55 ,2060 ,2100.49 ,Tons ,4327000
2018 ,215999 ,PLUMS DRIED ,19 ,Fresno ,1210 ,1.74 ,2110 ,1756.87 ,Tons ,3707000
2018 ,215999 ,PLUMS DRIED ,21 ,Glenn ,3770 ,1.57 ,5910 ,1920.30 ,Tons ,11349000
2018 ,215999 ,PLUMS DRIED ,39 ,Madera ,940 ,3.41 ,3210 ,2277.57 ,Tons ,7311000
2018 ,215999 ,PLUMS DRIED ,47 ,Merced ,1400 ,1.84 ,2570 ,2028.02 ,Tons ,5212000
2018 ,215999 ,PLUMS DRIED ,61 ,Placer ,12 ,1.25 ,15 ,2400.00 ,Tons ,36000
2018 ,215999 ,PLUMS DRIED ,95 ,Solano ,1200 ,2.48 ,2980 ,1975.17 ,Tons ,5886000
2018 ,215999 ,PLUMS DRIED ,101 ,Sutter ,13400 ,2.27 ,30400 ,1876.35 ,Tons ,57041000
2018 ,215999 ,PLUMS DRIED ,103 ,Tehama ,5260 ,1.62 ,8520 ,2058.22 ,Tons ,17536000
2018 ,215999 ,PLUMS DRIED ,107 ,Tulare ,2990 ,3.55 ,10600 ,1760.00 ,Tons ,18656000
2018 ,215999 ,PLUMS DRIED ,113 ,Yolo ,1690 ,3.17 ,5360 ,1789.93 ,Tons ,9594000
2018 ,215999 ,PLUMS DRIED ,115 ,Yuba ,8100 ,2.51 ,20300 ,1596.85 ,Tons ,32416000
2018 ,215999 ,PLUMS DRIED ,991 ,Sum of Others ,23 ,1.83 ,42 ,2783.33 ,Tons ,116900
2018 ,215999 ,PLUMS DRIED , 999, State Totals,48603 ,2.26 ,109977 ,1861.10 ,    ,204677900
2018 ,218399 ,POMEGRANATES ,19 ,Fresno ,3560 ,10.45 ,37200 ,963.01 ,Tons ,35824000
2018 ,218399 ,POMEGRANATES ,65 ,Riverside ,110 ,7.91 ,870 ,1056.32 ,Tons ,919000
2018 ,218399 ,POMEGRANATES ,71 ,San Bernardino ,10 ,7.80 ,78 ,1051.28 ,Tons ,82000
2018 ,218399 ,POMEGRANATES ,107 ,Tulare ,2820 ,5.14 ,14500 ,916.00 ,Tons ,13282000
2018 ,218399 ,POMEGRANATES ,991 ,Sum of Others ,14765 ,11.20 ,165404 ,486.44 ,Tons ,80459570
2018 ,218399 ,POMEGRANATES , 999, State Totals,21265 ,10.25 ,218052 ,598.79 ,    ,130566570
2018 ,391999 ,POTATOES ALL ,25 ,Imperial ,2090 ,12.54 ,26200 ,698.24 ,Tons ,18294000
2018 ,391999 ,POTATOES ALL ,29 ,Kern ,14800 ,22.97 ,340000 ,257.29 ,Tons ,87477000
2018 ,391999 ,POTATOES ALL ,49 ,Modoc ,4720 ,24.58 ,116000 ,158.99 ,Tons ,18443000
2018 ,391999 ,POTATOES ALL ,65 ,Riverside ,2010 ,17.66 ,35500 ,254.51 ,Tons ,9035000
