Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2017 ,395999 ,VEGETABLES ORIENTAL ALL ,991 ,Sum of Others ,977 ,2.54 ,2480 ,4920.42 ,Tons ,12202630
2017 ,395999 ,VEGETABLES ORIENTAL ALL , 999, State Total,5716 ,12.13 ,69350 ,892.06 ,    ,61864630
2017 ,398999 ,VEGETABLES UNSPECIFIED ,1 ,Alameda ,129 ,  ,  ,  ,  ,1084000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,5 ,Amador ,  ,  ,  ,  ,  ,90600
2017 ,398999 ,VEGETABLES UNSPECIFIED ,7 ,Butte ,608 ,  ,  ,  ,  ,1661000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,9 ,Calaveras ,  ,  ,  ,  ,  ,193000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,11 ,Colusa ,7250 ,  ,  ,  ,  ,32023000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,13 ,Contra Costa ,1150 ,  ,  ,  ,  ,8044000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,15 ,Del Norte ,  ,  ,  ,  ,  ,158000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,21 ,Glenn ,45 ,  ,  ,  ,  ,235000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,23 ,Humboldt ,  ,  ,  ,  ,  ,2477000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,27 ,Inyo ,3 ,  ,  ,  ,  ,25200
2017 ,398999 ,VEGETABLES UNSPECIFIED ,31 ,Kings ,8930 ,  ,  ,  ,  ,69252000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,33 ,Lake ,18 ,  ,  ,  ,  ,231000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,35 ,Lassen ,  ,  ,  ,  ,  ,20464000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,39 ,Madera ,4100 ,  ,  ,  ,  ,19287000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,41 ,Marin ,440 ,  ,  ,  ,  ,3987000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,45 ,Mendocino ,340 ,  ,  ,  ,  ,1150000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,47 ,Merced ,8890 ,  ,  ,  ,  ,55748000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,53 ,Monterey ,40000 ,  ,  ,  ,  ,189515000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,55 ,Napa ,25 ,  ,  ,  ,  ,250000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,57 ,Nevada ,87 ,  ,  ,  ,  ,1964000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,61 ,Placer ,  ,  ,  ,  ,  ,1850000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,63 ,Plumas ,  ,  ,  ,  ,  ,112000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,65 ,Riverside ,1200 ,  ,  ,  ,  ,5250000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,67 ,Sacramento ,2340 ,  ,  ,  ,  ,14037000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,69 ,San Benito ,6180 ,  ,  ,  ,  ,55016000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,73 ,San Diego ,1310 ,  ,  ,  ,  ,55773000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,77 ,San Joaquin ,3030 ,  ,  ,  ,  ,16227000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,79 ,San Luis Obispo ,11400 ,  ,  ,  ,  ,105865000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,81 ,San Mateo ,369 ,  ,  ,  ,  ,8164000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,83 ,Santa Barbara ,12400 ,  ,  ,  ,  ,119161000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,85 ,Santa Clara ,1530 ,  ,  ,  ,  ,15928000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,87 ,Santa Cruz ,2810 ,  ,  ,  ,  ,48427000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,91 ,Sierra ,  ,  ,  ,  ,  ,10700
2017 ,398999 ,VEGETABLES UNSPECIFIED ,93 ,Siskiyou ,  ,  ,  ,  ,  ,3397000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,95 ,Solano ,3750 ,  ,  ,  ,  ,37865000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,97 ,Sonoma ,441 ,  ,  ,  ,  ,8448000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,99 ,Stanislaus ,11200 ,  ,  ,  ,  ,83229000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,103 ,Tehama ,217 ,  ,  ,  ,  ,499000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,105 ,Trinity ,  ,  ,  ,  ,  ,6100
2017 ,398999 ,VEGETABLES UNSPECIFIED ,107 ,Tulare ,2660 ,  ,  ,  ,  ,16139000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,109 ,Tuolumne ,15 ,  ,  ,  ,  ,320000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,111 ,Ventura ,3450 ,  ,  ,  ,  ,50527000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,113 ,Yolo ,7490 ,  ,  ,  ,  ,25037000
2017 ,398999 ,VEGETABLES UNSPECIFIED ,991 ,Sum of Others ,2464 ,  ,  ,  ,  ,31699100
2017 ,398999 ,VEGETABLES UNSPECIFIED , 999, State Total,146271 ,  ,  ,  ,    ,1110825700
2017 ,263999 ,WALNUTS ENGLISH ,5 ,Amador ,120 ,1.70 ,204 ,2171.57 ,Tons ,443000
2017 ,263999 ,WALNUTS ENGLISH ,7 ,Butte ,49800 ,2.41 ,120000 ,2124.84 ,Tons ,254981000
2017 ,263999 ,WALNUTS ENGLISH ,9 ,Calaveras ,794 ,1.14 ,905 ,2279.56 ,Tons ,2063000
2017 ,263999 ,WALNUTS ENGLISH ,11 ,Colusa ,18500 ,2.03 ,37600 ,2227.47 ,Tons ,83753000
2017 ,263999 ,WALNUTS ENGLISH ,13 ,Contra Costa ,474 ,1.93 ,915 ,2609.84 ,Tons ,2388000
2017 ,263999 ,WALNUTS ENGLISH ,17 ,El Dorado ,126 ,1.57 ,198 ,3641.41 ,Tons ,721000
2017 ,263999 ,WALNUTS ENGLISH ,19 ,Fresno ,8420 ,1.73 ,14600 ,2203.01 ,Tons ,32164000
2017 ,263999 ,WALNUTS ENGLISH ,21 ,Glenn ,31100 ,2.47 ,76700 ,2408.57 ,Tons ,184737000
2017 ,263999 ,WALNUTS ENGLISH ,29 ,Kern ,610 ,1.90 ,1160 ,2520.69 ,Tons ,2924000
2017 ,263999 ,WALNUTS ENGLISH ,31 ,Kings ,16700 ,1.68 ,28100 ,2323.88 ,Tons ,65301000
2017 ,263999 ,WALNUTS ENGLISH ,33 ,Lake ,3650 ,0.40 ,1470 ,2500.00 ,Tons ,3675000
2017 ,263999 ,WALNUTS ENGLISH ,39 ,Madera ,2100 ,1.33 ,2790 ,2502.87 ,Tons ,6983000
2017 ,263999 ,WALNUTS ENGLISH ,47 ,Merced ,6370 ,1.85 ,11800 ,2340.00 ,Tons ,27612000
2017 ,263999 ,WALNUTS ENGLISH ,61 ,Placer ,1930 ,1.06 ,2040 ,2375.98 ,Tons ,4847000
2017 ,263999 ,WALNUTS ENGLISH ,67 ,Sacramento ,1120 ,1.10 ,1230 ,1764.23 ,Tons ,2170000
2017 ,263999 ,WALNUTS ENGLISH ,69 ,San Benito ,1730 ,0.57 ,979 ,1158.32 ,Tons ,1134000
2017 ,263999 ,WALNUTS ENGLISH ,77 ,San Joaquin ,67500 ,1.85 ,125000 ,2538.98 ,Tons ,317372000
2017 ,263999 ,WALNUTS ENGLISH ,79 ,San Luis Obispo ,1850 ,0.21 ,396 ,3191.92 ,Tons ,1264000
2017 ,263999 ,WALNUTS ENGLISH ,85 ,Santa Clara ,236 ,1.00 ,236 ,3237.29 ,Tons ,764000
2017 ,263999 ,WALNUTS ENGLISH ,89 ,Shasta ,1300 ,1.40 ,1820 ,2593.96 ,Tons ,4721000
2017 ,263999 ,WALNUTS ENGLISH ,95 ,Solano ,13700 ,1.72 ,23600 ,2006.69 ,Tons ,47358000
2017 ,263999 ,WALNUTS ENGLISH ,99 ,Stanislaus ,36600 ,1.86 ,68100 ,2403.00 ,Tons ,163644000
2017 ,263999 ,WALNUTS ENGLISH ,101 ,Sutter ,30700 ,1.80 ,55300 ,2358.30 ,Tons ,130414000
2017 ,263999 ,WALNUTS ENGLISH ,103 ,Tehama ,24700 ,1.99 ,49100 ,2446.58 ,Tons ,120127000
2017 ,263999 ,WALNUTS ENGLISH ,107 ,Tulare ,42900 ,1.57 ,67400 ,2120.00 ,Tons ,142888000
2017 ,263999 ,WALNUTS ENGLISH ,113 ,Yolo ,14800 ,1.37 ,20300 ,2190.00 ,Tons ,44457000
2017 ,263999 ,WALNUTS ENGLISH ,115 ,Yuba ,16200 ,1.80 ,29100 ,2544.30 ,Tons ,74039000
2017 ,263999 ,WALNUTS ENGLISH ,991 ,Sum of Others ,66 ,0.95 ,63 ,2016.51 ,Tons ,127040
2017 ,263999 ,WALNUTS ENGLISH , 999, State Total,394096 ,1.88 ,741106 ,2325.00 ,    ,1723071040
2017 ,101999 ,WHEAT ALL ,7 ,Butte ,3430 ,1.37 ,4700 ,98.09 ,Tons ,461000
2017 ,101999 ,WHEAT ALL ,11 ,Colusa ,9500 ,2.17 ,20600 ,172.77 ,Tons ,3559000
2017 ,101999 ,WHEAT ALL ,13 ,Contra Costa ,2940 ,1.35 ,3970 ,152.39 ,Tons ,605000
2017 ,101999 ,WHEAT ALL ,19 ,Fresno ,25600 ,1.73 ,44300 ,194.00 ,Tons ,8594000
2017 ,101999 ,WHEAT ALL ,21 ,Glenn ,5650 ,2.57 ,14500 ,140.69 ,Tons ,2040000
2017 ,101999 ,WHEAT ALL ,25 ,Imperial ,23400 ,3.22 ,75300 ,223.97 ,Tons ,16865000
2017 ,101999 ,WHEAT ALL ,29 ,Kern ,16300 ,2.29 ,37400 ,198.29 ,Tons ,7416000
2017 ,101999 ,WHEAT ALL ,31 ,Kings ,18000 ,2.54 ,45700 ,213.81 ,Tons ,9771000
2017 ,101999 ,WHEAT ALL ,35 ,Lassen ,2600 ,2.40 ,6240 ,179.17 ,Tons ,1118000
2017 ,101999 ,WHEAT ALL ,39 ,Madera ,3600 ,2.83 ,10200 ,197.45 ,Tons ,2014000
2017 ,101999 ,WHEAT ALL ,47 ,Merced ,12900 ,3.19 ,41100 ,162.73 ,Tons ,6688000
2017 ,101999 ,WHEAT ALL ,53 ,Monterey ,840 ,0.83 ,697 ,129.99 ,Tons ,90600
2017 ,101999 ,WHEAT ALL ,61 ,Placer ,517 ,1.86 ,960 ,169.79 ,Tons ,163000
2017 ,101999 ,WHEAT ALL ,65 ,Riverside ,9390 ,1.64 ,15400 ,270.45 ,Tons ,4165000
2017 ,101999 ,WHEAT ALL ,67 ,Sacramento ,7290 ,2.10 ,15300 ,138.89 ,Tons ,2125000
2017 ,101999 ,WHEAT ALL ,77 ,San Joaquin ,17000 ,3.21 ,54500 ,145.61 ,Tons ,7936000
2017 ,101999 ,WHEAT ALL ,93 ,Siskiyou ,9230 ,3.22 ,29700 ,162.02 ,Tons ,4812000
2017 ,101999 ,WHEAT ALL ,95 ,Solano ,20700 ,2.21 ,45700 ,158.88 ,Tons ,7261000
2017 ,101999 ,WHEAT ALL ,101 ,Sutter ,4810 ,1.46 ,7030 ,154.91 ,Tons ,1089000
2017 ,101999 ,WHEAT ALL ,103 ,Tehama ,3510 ,1.86 ,6520 ,170.71 ,Tons ,1113000
2017 ,101999 ,WHEAT ALL ,107 ,Tulare ,20000 ,2.38 ,47600 ,188.99 ,Tons ,8996000
2017 ,101999 ,WHEAT ALL ,113 ,Yolo ,20100 ,2.29 ,46000 ,145.00 ,Tons ,6670000
2017 ,101999 ,WHEAT ALL ,991 ,Sum of Others ,7493 ,1.54 ,11574 ,318.86 ,Tons ,3690500
2017 ,101999 ,WHEAT ALL , 999, State Total,244800 ,2.39 ,584991 ,183.32 ,    ,107242100
